model_name, v1, v2, eta, a1, a2, pi, Ter, st, sa
Cont, 1.2037, 0, 1.5636, 1.9959, 0, 0, 0.17146, 0.11601, 0
Thresh, 3.9356, 0, 0, 2.6545, 1.481, 0.40423, 0.1521, 0.10736, 0
