model_name, v1, v2, eta, a1, a2, pi, Ter, st, sa
Cont, 1.4213, 0, 1.4509, 1.7017, 0, 0, 0.19672, 0.055399, 0
Thresh, 3.8853, 0, 0, 2.0897, 1.2292, 0.4116, 0.1565, 0.042916, 0
