participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta_targ, eta_int,  a_targ, a_guess, gamma, beta, kappa, lambda_b, lambda_f, zeta, rho, Ter, st
18, Spatiotemporal Gradient,1329.3854,1.8317,0,0.16282,0,0.37662,0.36417,2.8597,1.827,1.55E-05,0.043287,0.51578,2.2694,0.66165,0.50421,0.74394,3.62E-05,0
19, Spatiotemporal Gradient,1534.2718,3.8905,0,0.97878,0,0.39964,0.18634,2.3262,1.0418,0.19726,0.35738,0.54415,0.70822,0.56093,0.2105,0.47501,0.26309,0
20, Spatiotemporal Gradient,1642.3284,4.0324,0,1.7755,0,6.26E-05,0.055214,3.5069,1.74,0.2135,0.298,0.51223,0.37503,0.6307,0.3277,0.51803,0.26921,0
21, Spatiotemporal Gradient,1081.9563,4.2924,0,3.5146,0,7.54E-05,0.1827,1.5971,0.96903,0.15496,0.32983,0.59023,0.77231,0.01163,0.44142,0.91225,0.21455,0
22, Spatiotemporal Gradient,866.1061,3.5292,0,3.7274,0,0.092839,0.5974,0.97335,1.3283,0.49841,0.14027,0.49562,0.16631,0.15194,0.22476,0.40658,0.22313,0
23, Spatiotemporal Gradient,1975.7929,2.7419,0,1.8627,0,0.005172,0.00042879,2.863,1.7575,0.099736,0.68947,0.63578,3.165,0.56387,0.12152,0.34562,0.034549,0
24, Spatiotemporal Gradient,1182.8437,4.0973,0,4.443,0,0.23914,8.00E-05,2.4216,1.1668,0.08158,0.36522,0.89628,1.0301,0.44222,0.0087965,0.90026,0.18679,0
25, Spatiotemporal Gradient,1356.9014,7.3287,0,7.4374,0,0.001116,0.00010638,2.8043,1.3396,0.22249,0.63604,0.5024,2.0253,0.5652,0.41157,0.23944,0.20317,0
26, Spatiotemporal Gradient,1775.1933,1.4857,0,1.536,0,0.00098196,0.060382,4.0073,1.7262,0.10583,0.18713,0.49886,1.2597,0.62465,0.25185,0.22916,0.074961,0
27, Spatiotemporal Gradient,951.4627,4.1673,0,4.3652,0,0.00011584,0.517,1.6533,1.0203,0.025072,0.4317,0.49821,0.2626,0.39445,0.0041047,0.90011,0.25462,0
28, Spatiotemporal Gradient,1188.9688,4.2541,0,0.94058,0,1.25E-05,0.47101,1.8439,0.81993,0.16639,0.72763,0.66676,0.0072881,0.41554,0.99014,0.55235,0.24526,0
29, Spatiotemporal Gradient,1405.3983,1.3927,0,0.26732,0,0.39076,0.90084,1.0962,1.9323,0.3309,0.024645,0.63331,0.71104,1.5013,0.28932,0.58091,0.25079,0
30, Spatiotemporal Gradient,1292.1798,5.1824,0,0.66768,0,0.43524,0.8295,1.3929,0.86452,0.28869,0.71126,0.60332,0.95886,0.23484,0.23901,0.59562,0.27297,0
31, Spatiotemporal Gradient,163.8575,7.026,0,2.4121,0,0.15237,0.1047,2.082,1.003,0.065261,0.19872,0.89945,0.0092516,0.86481,0.89438,0.51326,0.19355,0
32, Spatiotemporal Gradient,1425.8112,4.179,0,1.0123,0,0.099431,0.63933,2.3003,0.98045,0.051616,0.62733,0.49897,0.58285,0.00943,0.1589,0.90229,0.23053,0
33, Spatiotemporal Gradient,1849.2988,3.693,0,0.5884,0,0.41861,0.10857,1.9263,1.2339,0.14675,0.34102,0.87294,0.40078,0.46921,0.57253,0.91038,0.15417,0
34, Spatiotemporal Gradient,1620.3161,2.8273,0,1.9997,0,0.22511,0.39054,3.9959,1.7622,0.0545,0.25087,0.90128,0.73651,0.97843,0.18797,0.88934,0.06839,0
35, Spatiotemporal Gradient,2117.7759,1.4237,0,1.4613,0,0.14245,3.52E-05,3.305,2.1079,0.081782,0.52042,0.54676,3.2893,0.81634,0.64697,0.54003,0.20793,0
36, Spatiotemporal Gradient,827.9484,4.9997,0,0.44289,0,0.081181,0.52516,1.4486,0.81144,0.11071,0.60344,0.62872,0.22572,1.4944,0.64575,0.011205,0.24971,0
,,45792.6654,3.506473455,0,2.317583056,0,0.192638144,0.293943842,2.172216667,1.257479722,0.162577653,0.353012774,0.635575278,0.874402242,0.755667278,0.386927636,0.559320583,0.187528233,0
