participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta_targ, eta_int,  a_targ, a_guess, gamma, beta, kappa, lambda_b, lambda_f, zeta, rho, chi, psi, Ter, st
1, Semantic, 264.7231, 4.6309, 0, 0.83081, 0, 0.42853, 8.2613e-05, 2.3139, 1.8783, 1.2767e-05, 0.12724, 0.89606, 1.9203, 0.0068569, 0.073078, 0.58316, 0.19851, 1, 0.035968, 0
2, Semantic, 1514.6254, 2.4498, 0, 0.93068, 0, 0.26164, 0.060868, 1.7204, 0.91197, 0.32513, 0.67082, 0.49952, 0.58943, 0.48819, 0.99006, 0.5044, 0.21621, 1, 0.25756, 0
3, Semantic, 1227.5457, 3.1015, 0, 1.7708, 0, 0.24325, 0.49132, 1.5812, 1.0189, 0.42313, 0.18757, 0.61372, 0.23123, 0.17342, 0.0073298, 0.17759, 0.045508, 1, 0.26701, 0
4, Semantic, 1185.7059, 3.1512, 0, 0.49484, 0, 0.2814, 0.22957, 1.448, 0.7519, 0.10247, 0.35392, 0.50011, 1.5141, 0.95929, 0.41835, 0.75192, 0.053364, 1, 0.25937, 0
5, Semantic, 1191.4233, 2.482, 0, 2.4961, 0, 0.52338, 0.022093, 1.7509, 1.3044, 0.15518, 0.052595, 0.52411, 0.004867, 0.012205, 0.058017, 0.60106, 0.60453, 1, 0.18136, 0
6, Semantic, 1227.7982, 2.5423, 0, 0.87916, 0, 0.14573, 0.22295, 3.9101, 1.1437, 0.066833, 5.9384e-06, 0.48385, 0.7994, 1.3537, 1.0109, 0.8786, 0.00031323, 1, 0.00015487, 0
7, Semantic, 1275.732, 1.3519, 0, 2.2495, 0, 0.20698, 0.10689, 0.99854, 1.6981, 0.39982, 0.092272, 0.90402, 0.39607, 2.2245, 0.99367, 0.0047472, 0.20661, 1, 0.2922, 0
8, Semantic, 777.461, 4.0482, 0, 0.71737, 0, 0.23399, 0.39302, 1.261, 0.70804, 0.17593, 0.03872, 0.4992, 1.1947, 0.92213, 0.0069886, 0.49317, 0.44377, 1, 0.19775, 0
9, Semantic, 1513.5013, 3.4386, 0, 0.9854, 0, 0.00017829, 0.023792, 2.586, 1.6493, 0.13532, 0.40926, 0.80762, 1.7185, 0.51384, 0.27525, 0.11108, 0.0029458, 1, 0.13449, 0
10, Semantic, 1338.9231, 2.9677, 0, 2.4544, 0, 0.80707, 0.89798, 1.7969, 0.96402, 0.16376, 0.0051873, 0.5513, 0.031207, 0.0091457, 0.24449, 0.86061, 0.11343, 1, 0.10489, 0
11, Semantic, 1201.9669, 2.6601, 0, 0.12207, 0, 0.28437, 0.00023263, 1.2331, 2.0768, 0.17142, 0.046368, 0.5154, 0.86153, 0.55913, 0.81426, 0.60913, 0.57523, 1, 0.22844, 0
12, Semantic, 1339.2972, 2.0008, 0, 0.33009, 0, 0.46465, 0.19037, 1.5068, 0.79479, 0.080608, 0.57106, 0.8934, 0.0098502, 1.3633, 0.83856, 0.76246, 1.3007e-05, 1, 0.28182, 0
13, Semantic, 1826.1558, 1.2942, 0, 0.00051232, 0, 0.21195, 0.14574, 1.5957, 0.8579, 0.33599, 0.33653, 0.5719, 0.62498, 0.67896, 0.58732, 0.52231, 0.28359, 1, 0.264, 0
14, Semantic, 1230.7606, 1.1096, 0, 0.27276, 0, 0.20931, 0.86882, 1.0321, 0.87732, 0.3945, 0.27221, 0.54852, 0.069745, 0.2592, 0.48322, 0.54668, 0.33457, 1, 0.24917, 0
15, Semantic, 1111.2969, 1.099, 0, 1.3252, 0, 0.12429, 0.71436, 0.86158, 1.5813, 0.51084, 0.047852, 0.90069, 0.29297, 1.7299, 0.18322, 0.0075394, 0.38614, 1, 0.24011, 0
16, Semantic, 1509.7256, 1.6159, 0, 1.1122, 0, 1.4533e-05, 0.12225, 1.3723, 2.1886, 0.24769, 0.092283, 0.49869, 0.25839, 1.0423, 0.38402, 0.23619, 0.34952, 1, 0.14038, 0
17, Semantic, 929.5851, 3.4503, 0, 1.288e-05, 0, 0.53726, 0.50208, 1.4426, 0.75417, 0.03503, 0.28091, 0.49558, 1.4976, 0.90826, 0.081377, 0.38831, 0.38456, 1, 0.29163, 0
18, Semantic, 1320.8981, 1.6252, 0, 0.0019241, 0, 0.12678, 0.67608, 2.7099, 1.0603, 0.0096888, 0.024618, 0.54136, 1.9867, 1.5958, 0.42774, 0.54108, 0.20804, 1, 9.3226e-07, 0
19, Semantic, 1555.5565, 3.1916, 0, 0.81458, 0, 1.8737e-05, 0.47507, 1.9954, 0.91345, 0.29781, 0.17553, 0.68055, 0.17322, 0.30422, 0.0090989, 0.27203, 0.20508, 1, 0.26252, 0
20, Semantic, 1685.6165, 2.8654, 0, 1.6591, 0, 9.6521e-06, 0.00011457, 3.2024, 2.0058, 0.28031, 0.10542, 0.49357, 0.23038, 0.49504, 0.76459, 0.55556, 8.5626e-05, 1, 0.13142, 0
21, Semantic, 1079.1759, 4.2789, 0, 3.5012, 0, 0.17778, 0.13567, 1.6044, 0.96245, 0.16761, 0.34903, 0.49432, 0.27041, 0.33301, 0.0084843, 0.77699, 0.32848, 1, 0.21507, 0
22, Semantic, 895.9585, 1.0868, 0, 0.85013, 0, 0.90446, 0.23932, 0.67434, 1.4925, 0.062442, 0.086917, 0.78407, 0.011207, 0.67509, 0.30036, 0.40574, 0.28794, 1, 0.25984, 0
23, Semantic, 1975.5811, 2.6677, 0, 1.2846, 0, 0.51559, 0.61257, 2.6296, 1.3588, 0.59813, 0.20245, 0.58584, 0.0085199, 0.0089295, 0.21482, 0.24135, 0.15752, 1, 0.094705, 0
24, Semantic, 1186.7254, 3.8901, 0, 3.5015, 0, 0.047765, 0.041064, 2.161, 1.1066, 0.35851, 0.3298, 0.80899, 0.07891, 0.0092057, 0.51021, 0.47507, 0.049536, 1, 0.20486, 0
25, Semantic, 1432.2748, 3.674, 0, 0.19647, 0, 0.045158, 0.41207, 1.2649, 2.4623, 0.30253, 0.027163, 0.50011, 0.10461, 0.0072889, 0.12794, 0.51631, 0.31604, 1, 0.27777, 0
26, Semantic, 1781.4553, 1.5019, 0, 1.521, 0, 0.039836, 0.22142, 4.0104, 1.7184, 0.07912, 0.244, 0.90182, 0.11803, 0.89894, 0.47379, 0.10049, 0.055947, 1, 0.13497, 0
27, Semantic, 982.5023, 2.8434, 0, 0.00053, 0, 0.0014949, 0.10593, 1.2672, 0.88885, 0.1105, 0.28805, 0.5022, 0.74525, 1.3882, 0.27925, 0.36682, 1.9917e-06, 1, 0.27476, 0
28, Semantic, 1206.2933, 2.5953, 0, 0.00088625, 0, 0.21507, 0.041926, 1.3666, 0.78094, 0.084321, 0.61913, 0.90277, 0.30048, 1.2749, 0.28253, 0.79529, 0.26807, 1, 0.25009, 0
