participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta_targ, eta_int,  a_targ, gamma,  Ter, st
1, Pure Intrusion,142.7185,6.6735,0,0.98813,0,0.35902,0.91301,3.234,0.17729,1.21E-06,0
2, Pure Intrusion,1513.7569,0.33226,0,1.8936,0,0.012649,0.26685,1.1091,0.04344,0.22442,0
3, Pure Intrusion,1223.2725,2.8407,0,0.15657,0,0.087019,0.90731,1.3213,0.54595,0.28553,0
4, Pure Intrusion,1209.957,1.5255,0,3.9548,0,0.642,0.89909,1.3296,0.27254,0.20943,0
5, Pure Intrusion,1170.687,2.7856,0,2.5547,0,0.34138,0.9018,1.8782,0.47789,0.17324,0
6, Pure Intrusion,1232.6448,2.6298,0,0.94932,0,0.42511,0.21033,4.0084,0.15591,0.031675,0
7, Pure Intrusion,1261.6672,1.0781,0,3.8603,0,0.54949,0.28413,1.2332,0.38837,0.27014,0
8, Pure Intrusion,764.9771,4.3467,0,2.1906,0,0.42104,0.90792,1.6067,0.3959,0.13874,0
9, Pure Intrusion,1527.6912,3.0658,0,1.2446,0,0.0008802,0.90589,2.605,0.45481,0.051348,0
10, Pure Intrusion,1319.1783,2.7007,0,1.7959,0,3.86E-05,0.90072,1.5234,0.68393,0.13902,0
11, Pure Intrusion,1170.8981,3.2338,0,1.5249,0,0.083326,0.90698,1.7742,0.43021,0.12394,0
12, Pure Intrusion,1375.8592,1.8489,0,6.88E-05,0,0.00021346,0.58042,1.172,0.68,0.21493,0
13, Pure Intrusion,1822.5052,0.31621,0,6.1413,0,2.12E-05,0.26013,1.3989,1.35E-07,0.15351,0
14, Pure Intrusion,1193.1137,0.45576,0,2.7284,0,0.90396,0.42568,1.2633,0.78573,0.23068,0
15, Pure Intrusion,1120.5654,0.4376,0,1.5668,0,0.02575,0.8188,0.85879,0.10009,0.24106,0
16, Pure Intrusion,1493.6154,1.6427,0,3.7031,0,0.90763,0.24402,1.9408,0.14531,0.054954,0
17, Pure Intrusion,893.0565,3.5941,0,3.7373,0,0.72433,0.90563,1.8401,0.43948,0.18936,0
18, Pure Intrusion,1321.0487,1.7656,0,5.8168,0,0.37715,0.28048,2.844,0.025169,4.66E-06,0
19, Pure Intrusion,1555.2343,2.6835,0,1.8524,0,0.014399,0.91036,2.4889,0.54373,0.023778,0
20, Pure Intrusion,1701.6143,2.4958,0,1.2516,0,0.0036613,0.0045293,2.5319,0.54178,0.27079,0
21, Pure Intrusion,1079.406,3.8973,0,2.9753,0,0.021558,0.9024,1.5502,0.76488,0.18782,0
22, Pure Intrusion,901.4885,4.2901,0,2.3042,0,0.057263,0.9099,1.0136,0.84267,0.21088,0
23, Pure Intrusion,1967.9608,2.0488,0,1.1221,0,0.083976,0.44892,2.3199,0.68998,6.48E-06,0
24, Pure Intrusion,1265.0489,1.9286,0,1.3168,0,0.14817,0.00018473,1.2285,0.54905,0.24805,0
25, Pure Intrusion,1415.6564,4.0925,0,0.00091997,0,0.011386,0.90552,1.4543,0.65906,0.25112,0
26, Pure Intrusion,1815.8525,1.3442,0,2.0309,0,0.10164,0.26375,3.7228,0.27076,1.36E-05,0
27, Pure Intrusion,997.6551,2.8958,0,1.9859,0,0.54612,0.17817,1.323,0.42181,0.24356,0
28, Pure Intrusion,1224.3153,0.80698,0,2.7855,0,0.70947,0.0019154,1.1364,0.4247,0.20628,0
29, Pure Intrusion,1393.9857,2.5691,0,1.23E-06,0,0.090252,0.7169,1.1331,0.80418,0.2442,0
30, Pure Intrusion,1301.0978,0.44225,0,3.5928,0,0.00052203,0.41708,1.1425,0.44618,0.25122,0
31, Pure Intrusion,202.0025,5.8667,0,2.6106,0,0.33344,0.90697,1.727,0.24032,0.20176,0
32, Pure Intrusion,1451.2852,2.7614,0,2.2372,0,9.75E-07,0.92605,1.8743,0.69165,0.10704,0
33, Pure Intrusion,1860.2468,0.87236,0,2.249,0,0.88927,0.0068736,1.9481,0.16078,0.038352,0
34, Pure Intrusion,1645.6073,2.1681,0,1.5785,0,0.31696,0.00012191,3.2747,0.35938,7.03E-05,0
35, Pure Intrusion,2111.637,1.2627,0,0.19256,0,0.00086612,0.90018,2.9292,0.53191,0.20792,0
36, Pure Intrusion,864.7483,3.1419,0,1.9907,0,0.053879,0.90557,1.1105,0.53681,0.22793,0
,,46512.0554,2.412261667,0,2.135671388,0,0.256773358,0.578460693,1.856941389,0.435601365,0.157021478,0
