"","Pure.Guess","Pure.Intrusion","Intrusion...Guessing","Temporal","Spatiotemporal","Pure.Guess","Pure.Intrusion","Intrusion...Guessing","Temporal","Spatiotemporal"
"1",517.9752,142.7185,111.9315,120.8194,154.1164,6.66281537369747e-89,2.03992797018372e-07,0.988386807328756,0.0116129879951776,6.83269909280424e-10
"2",1507.6266,1513.7569,1513.4903,1511.6724,1520.0086,0.81019924917342,0.0377932382387187,0.0431822790558074,0.107166125373603,0.00165910815845102
"3",1332.8299,1223.2725,1253.9962,1190.3329,1204.0087,1.13947318152237e-31,7.0273444934206e-08,1.49700950266797e-14,0.998928725532896,0.00107120419364436
"4",1199.5876,1209.957,1173.6778,1176.0372,1183.7181,1.79957811344847e-06,1.00805470801524e-08,0.761048415727849,0.233924163922879,0.00502561069061147
"5",1191.2354,1170.687,1161.6683,1193.6523,1199.618,3.75692072933975e-07,0.0108858011681988,0.989113705252646,1.12204135747091e-07,5.68294652654787e-09
"6",1244.5555,1232.6448,1390.77,1276.493,1501.4731,0.00258523573042977,0.997414763969405,4.59647484317646e-35,3.00165062717406e-10,4.20293000845201e-59
"7",1322.3713,1261.6672,1240.1989,1268.0315,1259.2565,1.43366809218811e-18,2.17859473185259e-05,0.999904590110558,9.04037120912279e-07,7.2719905002571e-05
"8",820.7419,764.9771,741.1691,748.7466,758.1752,5.14258041719864e-18,6.6123152961014e-06,0.977676252702249,0.022118814590469,0.000198320391985951
"9",1521.0583,1527.6912,1501.5552,1513.9596,1531.2156,5.80832357251991e-05,2.10734124714642e-06,0.997918691455042,0.00202075620749646,3.61760488716085e-07
"10",1330.3358,1319.1783,1316.9294,1327.1258,1342.7925,0.000921039306385574,0.243836381881936,0.750655957517802,0.00458480435579221,1.81693808473343e-06
"11",1184.3155,1170.8981,1129.5224,1136.7048,1162.1059,1.23032563879032e-12,1.00825750904591e-09,0.973174145799528,0.0268257713871917,8.18037922326808e-08
"12",1364.853,1375.8592,1329.4911,1338.6441,1347.8605,2.07381709235262e-08,8.44898397196093e-11,0.989713443463627,0.0101849938941348,0.00010154181957712
"13",1817.3866,1822.5052,1823.8353,1817.872,1858.7838,0.52585985915424,0.0406799259053454,0.0209195629978876,0.412540651403535,5.3899192358407e-10
"14",1241.6561,1193.1137,1166.943,1210.9996,1229.7232,5.97386729158537e-17,2.07540949724376e-06,0.999997924319317,2.71162708273616e-10,2.33051489055169e-14
"15",1118.7673,1120.5654,1093.2654,1093.9219,1087.6529,1.58724265291942e-07,6.45938055088288e-08,0.0547407255647755,0.0394233373022923,0.905835713814861
"16",1502.8152,1493.6154,1479.9997,1456.741,1491.3999,9.88805123551722e-11,9.83607644515202e-09,8.90089307595852e-06,0.999991059392864,2.97791027136334e-08
"17",1025.7009,893.0565,864.6777,885.3817,880.5824,1.08165673255949e-35,6.87788556154157e-07,0.999615696443317,3.19165977634892e-05,0.00035169917036322
"18",1405.0641,1321.0487,1307.4989,1310.8456,1525.5186,5.48140609098771e-22,0.000960736488726074,0.841212990986297,0.157826272524977,3.82410354251157e-48
"19",1559.9594,1555.2343,1527.6125,1530.3937,1552.5091,7.57567772667336e-08,8.04384918732621e-07,0.800684791818611,0.199311185841457,3.14219823641447e-06
"20",1693.8925,1701.6143,1650.5449,1651.3798,1975.0467,2.33031171068541e-10,4.90508403813628e-12,0.602872896387219,0.397127103374845,2.06802224359016e-71
"21",1117.2641,1079.406,1081.5196,1092.8781,1104.8654,4.45948259920231e-09,0.741423652130161,0.257693834480741,0.000880312951690392,2.19597792487717e-06
"22",929.9705,901.4885,858.1119,875.1508,851.8206,1.02721354204905e-17,1.57198520024666e-11,0.0412626831328589,8.23393323112221e-06,0.95872908291819
"23",1991.9643,1967.9608,1970.7964,1978.9189,2024.312,4.92084598164591e-06,0.802294048135632,0.194352823329674,0.00334820768824733,4.653995575399e-13
"24",1239.6232,1265.0489,1192.671,1208.507,1243.1061,6.37237320133461e-11,1.91946677142366e-16,0.999636002608989,0.000363997316119007,1.11686087424395e-11
"25",1448.2465,1415.6564,1366.8661,1465.7804,1370.3533,1.81331640079274e-18,2.16433203157685e-11,0.851143755294321,2.82511142510084e-22,0.148856244684035
"26",1772.7082,1815.8525,1776.6693,1783.2686,2328.8248,0.87482578603158,3.74331063282622e-10,0.120720114731915,0.00445409886217398,1.5231274259687e-121
"27",971.9138,997.6551,951.8462,960.3374,954.2886,3.35238892457549e-05,8.62386846175989e-11,0.763797741238737,0.010943033212961,0.225225701572818
"28",1213.5343,1224.3153,1217.4654,1171.1006,1188.9819,6.10354641605422e-10,2.78302973754068e-12,8.54977592427947e-11,0.999869060557474,0.000130938743890157
"29",1414.5387,1393.9857,1393.8254,1396.5727,1401.85,1.44834325581436e-05,0.420628547820178,0.455729820494869,0.11538220449142,0.00824494376097453
"30",1308.2901,1301.0978,1274.2908,1299.1252,1315.4833,4.14136375582631e-08,1.50984192093713e-06,0.999994399276961,4.04833205179129e-06,1.13542864020532e-09
"31",1283.9645,202.0025,160.2924,157.5391,170.9307,2.00287055683349e-245,1.76488331258238e-10,0.201348839843299,0.797665171960267,0.00098598801994562
"32",1432.664,1451.2852,1433.1223,1474.8851,1427.7205,0.073322093806339,6.63273513699078e-06,0.0583064067235299,4.97782338203835e-11,0.868364866685216
"33",1868.4079,1860.2468,1850.1562,1855.1015,1872.3523,9.974680880051e-05,0.00590281752953639,0.916653725541038,0.0773298303134415,1.38798071832202e-05
"34",1633.1999,1645.6073,1628.0745,1612.3102,1978.0841,2.90859157826075e-05,5.88098490819841e-08,0.000377267340936969,0.999593587933431,3.74136659661782e-80
"35",2108.6299,2111.637,2103.1529,2299.0508,2326.0298,0.059930080227698,0.0133248212211036,0.926745098551198,2.68084561548721e-43,3.71412393065231e-49
"36",893.8559,864.7483,812.4335,846.8171,827.7028,2.08516575054847e-18,4.36290356415533e-12,0.999516791646981,3.41575112917919e-08,0.000483174191144914
