participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta_targ, eta_int,  a_targ, a_guess, gamma, beta, kappa, lambda_b, lambda_f, Ter, st
1, Temporal Gradient,120.8194,7.5049,0,1.8719,0,0,0,3.5703,1.8238,0.05431,0.15862,0.43827,0.66886,0.0034236,0.0063027,0
2, Temporal Gradient,1511.6724,0.55808,0,0.94169,0,0,0,1.2248,0.84841,0.10786,0.39963,0.45954,0.95539,1.0216,0.25718,0
3, Temporal Gradient,1190.3329,5.2301,0,2.0355,0,0,0,2.3662,1.1233,0.0088414,0.657,0.82925,0.64054,0.93563,0.26583,0
4, Temporal Gradient,1176.0372,2.9916,0,0.013292,0,0,0,1.3826,0.7326,0.4744,0.30347,0.27685,0.39572,0.0089761,0.25981,0
5, Temporal Gradient,1193.6523,2.2508,0,1.8807,0,0,0,1.4867,0.93781,0.57833,0.043666,0.82281,0.01064,0.44685,0.23477,0
6, Temporal Gradient,1276.493,2.8749,0,1.06E-05,0,0,0,3.6757,2.322,0.060371,0.24158,0.67698,0.58447,0.15758,0.17692,0
7, Temporal Gradient,1268.0315,0.84436,0,2.9702,0,0,0,0.9341,1.8783,0.087075,0.060017,0.61743,0.55176,0.4956,0.3,0
8, Temporal Gradient,748.7466,4.7813,0,3.8928,0,0,0,1.7548,1.2352,0.31769,0.26228,0.12063,1.6715,0.24156,0.13346,0
9, Temporal Gradient,1513.9596,3.3243,0,0.12795,0,0,0,2.3256,1.6641,1.63E-06,0.48137,0.55746,0.00962,1.602,0.18236,0
10, Temporal Gradient,1327.1258,2.5126,0,2.7962,0,0,0,1.3901,1.2084,0.60745,0.39251,0.37538,0.21667,0.15739,0.17209,0
11, Temporal Gradient,1136.7048,4.0728,0,4.9751,0,0,0,2.2604,1.4623,0.31344,0.34023,0.31645,1.388,0.11355,0.10236,0
12, Temporal Gradient,1338.6441,1.2357,0,1.7964,0,0,0,1.3396,0.79677,0.0031586,0.55348,0.3356,1.9429,1.1331,0.28081,0
13, Temporal Gradient,1817.872,0.73772,0,0.00042903,0,0,0,1.7629,1.0304,0.33969,0.53444,1.00E-05,1.8985,0.0093435,0.24001,0
14, Temporal Gradient,1210.9996,0.025658,0,2.3234,0,0,0,1.0914,0.85207,0.43479,0.56514,0.90018,1.8945,0.77993,0.26173,0
15, Temporal Gradient,1093.9219,0.49993,0,3.1754,0,0,0,0.77919,1.5781,0.059295,0.054515,0.57044,2.395,1.9609,0.25915,0
16, Temporal Gradient,1456.741,2.8666,0,4.0723,0,0,0,2.141,1.6816,0.44738,0.34966,0.6944,0.14881,0.64593,0.038235,0
17, Temporal Gradient,885.3817,3.631,0,0.00028334,0,0,0,1.5388,0.88867,0.0082718,0.48886,2.28E-05,0.67613,1.3567,0.27557,0
18, Temporal Gradient,1310.8456,1.5961,0,0.85235,0,0,0,2.6762,1.2793,0.0073655,0.024029,0.84145,0.27443,0.44219,4.34E-06,0
19, Temporal Gradient,1530.3937,3.8227,0,0.91287,0,0,0,2.3398,1.1134,0.51578,0.39883,0.1733,0.78308,0.099869,0.25046,0
20, Temporal Gradient,1651.3798,4.7452,0,2.1741,0,0,0,3.9336,1.8061,0.36248,0.49381,0.054577,3.0467,0.57623,0.28261,0
21, Temporal Gradient,1092.8781,3.0934,0,1.9658,0,0,0,1.1765,0.69694,0.80116,0.19736,0.5325,0.3315,0.47107,0.26641,0
22, Temporal Gradient,875.1508,0.35104,0,3.5806,0,0,0,0.6942,1.7576,0.33122,0.05375,0.67629,1.1463,0.0072259,0.25401,0
23, Temporal Gradient,1978.9189,1.402,0,1.5613,0,0,0,2.1631,1.8449,0.61374,0.37197,0.88847,3.3085,0.16319,0.012333,0
24, Temporal Gradient,1208.507,4.4829,0,8.42E-07,0,0,0,2.3512,1.0645,0.0020574,0.66136,0.038921,1.1699,0.007701,0.24202,0
25, Temporal Gradient,1465.7804,1.6794,0,0.94886,0,0,0,1.0767,1.7838,0.3725,0.15722,0.11164,1.4407,0.21373,0.28456,0
26, Temporal Gradient,1783.2686,1.5328,0,4.0624,0,0,0,3.9996,1.7684,0.062004,0.25908,0.0073522,0.0072727,1.0271,0.23599,0
27, Temporal Gradient,960.3374,3.3065,0,0.00018754,0,0,0,1.459,0.97147,0.0073103,0.41954,0.69056,0.62626,1.562,0.26678,0
28, Temporal Gradient,1171.1006,6.4222,0,1.4999,0,0,0,2.8542,0.87326,0.12812,0.80843,0.008066,0.82966,1.0902,0.23351,0
29, Temporal Gradient,1396.5727,1.7044,0,0.19852,0,0,0,0.99365,1.2367,0.75353,0.24633,0.28129,0.90932,1.1573,0.25701,0
30, Temporal Gradient,1299.1252,0.29493,0,2.7092,0,0,0,1.0045,2.1759,0.39338,0.0078748,0.68439,0.0065184,1.0023,0.25507,0
31, Temporal Gradient,157.5391,6.9355,0,2.6139,0,0,0,2.105,1.0404,0.13041,0.20884,0.90209,0.014682,1.0392,0.18779,0
32, Temporal Gradient,1474.8851,0.65517,0,2.0293,0,0,0,1.0967,1.8125,0.14517,0.063099,0.80411,0.0093621,1.4981,0.22343,0
33, Temporal Gradient,1855.1015,0.70451,0,1.7885,0,0,0,1.672,1.4012,0.39465,0.088824,0.80948,1.0511,0.091489,0.080948,0
34, Temporal Gradient,1612.3102,2.8307,0,1.9363,0,0,0,3.9569,1.7681,0.3758,0.30001,0.30908,0.41727,0.12788,0.084021,0
35, Temporal Gradient,2299.0508,0.39195,0,0.052865,0,0,0,2.354,0.86828,0.015874,0.13826,0.86465,0.016413,1.7785,0.0018498,0
36, Temporal Gradient,846.8171,3.3185,0,0.00010911,0,0,0,1.0354,0.69003,0.40063,0.2511,0.61139,0.95198,1.7127,0.26429,0
,,46237.0984,2.644784667,0,1.715572707,0,0,0,1.943512222,1.333794722,0.26987599,0.306560689,0.480036361,0.899721061,0.698278836,0.198046773,0
