participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta_targ, eta_int,  a_targ, a_guess, gamma, beta, Ter, st
1, Pure Intrusion, 14155.9781, 2.9071, 0, 0.038647, 0, 0.89684, 0.78063, 2.1568, 0, 0.060332, 0, 0.195, 0
2, Pure Intrusion, 14872.0583, 5.773, 0, 0.81729, 0, 0.49003, 0.056943, 2.0597, 0, 0.10397, 0, 0.17133, 0
3, Pure Intrusion, 14954.9514, 3.5056, 0, 0.64793, 0, 0.023748, 0.46338, 1.9973, 0, 0.11633, 0, 0.13421, 0
4, Pure Intrusion, 14830.6118, 5.198, 0, 1.2286, 0, 0.41081, 0.62208, 1.9379, 0, 0.037288, 0, 0.14007, 0
5, Pure Intrusion, 14872.0583, 5.0491, 0, 1.1467, 0, 0.36146, 0.8731, 2.1719, 0, 0.063915, 0, 0.24001, 0
6, Pure Intrusion, 14304.7773, 3.6435, 0, 0.74283, 0, 0.8102, 0.89179, 1.6376, 0, 0.295, 0, 0.13432, 0
7, Pure Intrusion, 14789.1653, 5.6563, 0, 1.0419, 0, 1.552e-05, 0.87374, 1.933, 0, 0.052006, 0, 0.2045, 0
8, Pure Intrusion, 14167.4673, 6.2529, 0, 1.4859, 0, 0.88937, 0.16216, 2.3092, 0, 0.12798, 0, 0.17364, 0
9, Pure Intrusion, 14954.9514, 0.18745, 0, 1.514, 0, 0.87508, 0.1192, 3.5105, 0, 0.062234, 0, 0.1002, 0
10, Pure Intrusion, 14540.4861, 2.8341, 0, 2.3586, 0, 0.21401, 0.0014948, 3.5176, 0, 0.061098, 0, 0.24665, 0
11, Pure Intrusion, 14913.5049, 0.1051, 0, 1.5899, 0, 0.022191, 0.87716, 3.7951, 0, 0.095879, 0, 0.18353, 0
12, Pure Intrusion, 14913.5049, 3.6462, 0, 1.4355, 0, 0.2863, 0.46621, 2.0893, 0, 0.033038, 0, 0.18518, 0
13, Pure Intrusion, 14540.4861, 5.3937, 0, 1.1417, 0, 0.72168, 0.75035, 1.8215, 0, 0.10259, 0, 0.23966, 0
14, Pure Intrusion, 14747.7187, 1.5966, 0, 1.2825, 0, 0.65018, 0.43054, 1.5691, 0, 0.073171, 0, 0.18532, 0
15, Pure Intrusion, 14546.4776, 3.981, 0, 1.1574, 0, 0.47869, 0.75774, 2.1251, 0, 0.029384, 0, 0.2119, 0
16, Pure Intrusion, 14623.3791, 0.15784, 0, 0.58848, 0, 0.012954, 0.46232, 1.9149, 0, 0.18076, 0, 0.22662, 0
17, Pure Intrusion, 14830.6118, 5.4245, 0, 2.016, 0, 0.80738, 0.86544, 1.4541, 0, 0.15929, 0, 0.21454, 0
18, Pure Intrusion, 14623.3791, 5.7581, 0, 1.6308, 0, 0.89784, 0.24784, 3.291, 0, 0.17241, 0, 0.19991, 0
19, Pure Intrusion, 14954.9514, 4.0675, 0, 1.6059, 0, 0.8901, 0.24773, 2.3693, 0, 0.065435, 0, 0.2335, 0
20, Pure Intrusion, 14878.0498, 0.72054, 0, 0.80872, 0, 0.46932, 0.28387, 2.0155, 0, 0.11973, 0, 0.22139, 0
21, Pure Intrusion, 14872.0583, 3.4835, 0, 2.0163, 0, 0.25144, 0.0024524, 1.7715, 0, 0.0079922, 0, 0.1532, 0
22, Pure Intrusion, 13338.5367, 2.5372, 0, 1.0588, 0, 0.0034795, 0.87089, 2.1392, 0, 0.085792, 0, 0.23328, 0
23, Pure Intrusion, 14836.6033, 4.8032, 0, 1.4654, 0, 0.13957, 0.6349, 1.6424, 0, 0.084001, 0, 0.20883, 0
24, Pure Intrusion, 14872.0583, 1.9759, 0, 1.5424, 0, 0.37359, 0.83778, 2.1259, 0, 0.023369, 0, 0.16689, 0
25, Pure Intrusion, 14954.9514, 3.846, 0, 0.61145, 0, 0.50672, 0.80833, 1.3927, 0, 0.014791, 0, 0.23721, 0
26, Pure Intrusion, 13937.2562, 7.4972, 0, 0.85225, 0, 0.18124, 0.54336, 1.9626, 0, 0.023873, 0, 0.20148, 0
27, Pure Intrusion, 14789.1653, 0.31637, 0, 0.19971, 0, 0.081507, 0.89892, 3.1331, 0, 0.015147, 0, 0.19763, 0
28, Pure Intrusion, 14623.3791, 3.628, 0, 1.1078, 0, 0.85922, 0.12596, 2.1592, 0, 0.1732, 0, 0.21858, 0
29, Pure Intrusion, 14830.6118, 7.4467, 0, 1.2621, 0, 0.39954, 0.86797, 2.5317, 0, 0.30667, 0, 0.21269, 0
30, Pure Intrusion, 14712.2637, 4.0852, 0, 1.2497, 0, 0.59615, 0.56005, 2.204, 0, 0.16359, 0, 0.23049, 0
31, Pure Intrusion, 14830.6118, 1.9346, 0, 0.99379, 0, 0.023019, 0.2471, 1.2952, 0, 0.15742, 0, 0.12957, 0
32, Pure Intrusion, 14747.7187, 7.3846, 0, 0.76101, 0, 0.21303, 0.65123, 1.9228, 0, 0.0078136, 0, 0.23867, 0
33, Pure Intrusion, 14316.2665, 3.1489, 0, 1.4835, 0, 0.21313, 0.091727, 2.429, 0, 0.068593, 0, 0.22887, 0
34, Pure Intrusion, 14842.5947, 5.9555, 0, 0.79502, 0, 0.46556, 0.67474, 2.3114, 0, 0.0512, 0, 0.17167, 0
35, Pure Intrusion, 14221.3905, 6.3021, 0, 0.45839, 0, 0.82034, 0.0081504, 2.4543, 0, 0.074329, 0, 0.1727, 0
36, Pure Intrusion, 14374.7, 2.3622, 0, 0.65527, 0, 0.49809, 0.74401, 2.5288, 0, 0.087216, 0, 0.12525, 0
