participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta_targ, eta_int,  a_targ, a_guess, gamma, beta, kappa, lambda_b, lambda_f, zeta, rho, chi, psi, Ter, st
1, Additive, 2062.8756, 3.8043, 0, 1.9428, 0, 0.43033, 0.2221, 3.3851, 1.6307, 0.044428, 0.10208, 0.64744, 0.50856, 0.34203, 0.29169, 0.18903, 1.0353e-06, 0.42627, 2.7629e-05, 0
2, Additive, 2013.8646, 4.8821, 0, 1.834, 0, 0.34697, 0.62736, 3.9182, 1.766, 0.05081, 0.13335, 0.49587, 0.017329, 0.20776, 0.10577, 0.60945, 0.19578, 0.82103, 3.1854e-06, 0
3, Additive, 3271.0887, 4.7161, 0, 1.2213, 0, 0.1703, 0.076044, 2.0854, 1.0519, 0.15876, 0.29807, 0.51508, 1.2208, 1.2355, 0.47948, 0.42553, 0.081447, 0.11369, 0.1952, 0
4, Additive, 2873.3714, 4.609, 0, 1.5224, 0, 0.10371, 0.00069036, 3.2999, 1.471, 0.11104, 0.066412, 0.85806, 0.36671, 1.9375, 0.00012495, 0.61165, 0.089238, 0.1633, 6.4605e-06, 0
5, Additive, 4145.4203, 0.417, 0, 2.0697, 0, 0.29729, 0.27826, 0.81124, 1.5478, 0.21947, 0.12866, 0.59772, 0.13635, 0.95913, 0.98864, 0.56774, 0.5415, 0.38239, 0.20907, 0
