participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta_targ, eta_int,  a_targ, a_guess, gamma, beta, kappa, lambda_b, lambda_f, zeta, rho, Ter, st
1, Spatiotemporal Gradient, 2021.5296, 4.4177, 0, 2.1091, 0, 0.52654, 0.10357, 3.6796, 1.5306, 0.02992, 0.09672, 0.91122, 0.0082395, 0.82493, 0.9129, 0.91649, 0.014861, 0
2, Spatiotemporal Gradient, 1912.1009, 5.0731, 0, 1.9708, 0, 0.26286, 0.015734, 4.001, 1.5609, 0.050575, 0.077278, 0.90567, 0.17655, 0.17929, 1.0009, 0.91518, 8.0478e-06, 0
3, Spatiotemporal Gradient, 3254.887, 4.5198, 0, 0.0009227, 0, 0.048999, 4.8187e-06, 2.4407, 1.3325, 0.029597, 0.38145, 0.79513, 0.74794, 0.19328, 0.0037881, 0.0016609, 0.10615, 0
4, Spatiotemporal Gradient, 2790.4642, 4.8103, 0, 1.7309, 0, 0.17455, 0.16023, 3.4188, 1.5894, 0.13827, 0.088603, 0.66863, 0.20036, 1.2774, 0.99526, 0.71984, 1.7392e-06, 0
5, Spatiotemporal Gradient, 4507.5448, 2.9968, 0, 2.133, 0, 0.35889, 0.15098, 1.541, 1.1814, 0.15681, 0.3228, 0.46008, 0.045795, 1.0327, 9.1854e-05, 0.81152, 0.013998, 0
