participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta_targ, eta_int,  a_targ, a_guess, gamma, beta, kappa, lambda_b, lambda_f, zeta, rho, Ter, st
1, Spatiotemporal Gradient, 2571.1722, 4.0829, 0, 1.4211, 0, 0.35751, 0.36675, 3.4668, 1.3311, 0.052868, 0.046493, 0.49682, 0.89586, 0.40906, 1.0051, 0.91322, 0.0024987, 0
2, Spatiotemporal Gradient, 2479.2279, 4.982, 0, 1.7046, 0, 0.23677, 0.50339, 3.926, 1.7921, 0.059248, 0.075033, 0.49544, 0.39708, 1.5745, 1.0035, 0.93103, 2.6899e-06, 0
3, Spatiotemporal Gradient, 3631.3817, 5.0088, 0, 6.2032, 0, 0.55912, 0.0013156, 2.6627, 1.5062, 0.10307, 0.36958, 0.51843, 0.20571, 0.0488, 0.11591, 0.11746, 0.10779, 0
4, Spatiotemporal Gradient, 3563.492, 4.7072, 0, 1.3437, 0, 0.25669, 0.065458, 3.3518, 1.8446, 0.10961, 0.14907, 0.8272, 0.14858, 0.93849, 0.99373, 0.75244, 0.00080808, 0
5, Spatiotemporal Gradient, 4052.0762, 0.39643, 0, 2.203, 0, 0.90152, 0.024884, 0.86108, 1.841, 0.15789, 0.13394, 0.90124, 0.68202, 0.61415, 0.49179, 0.85568, 0.23011, 0
