participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta_targ, eta_int,  a_targ, a_guess, gamma, beta, Ter, st
1, Intrusion + Guess, 113.7927, 7.5006, 0, 1.9335, 0, 5.5172e-06, 0.53191, 3.5798, 1.9213, 0.082169, 0.12273, 1.9073e-05, 0
2, Intrusion + Guess, 1502.5199, 2.6591, 0, 1.0896, 0, 0.87887, 0.058906, 1.9575, 0.93223, 0.11144, 0.70706, 0.25441, 0
3, Intrusion + Guess, 1188.3677, 5.4494, 0, 1.6375, 0, 0.49349, 0.020728, 2.4676, 1.1231, 8.312e-06, 0.65695, 0.26508, 0
4, Intrusion + Guess, 1172.7545, 3.4415, 0, 0.43957, 0, 0.90037, 0.25002, 1.5692, 0.76409, 0.13631, 0.37899, 0.25919, 0
5, Intrusion + Guess, 1171.3145, 3.1174, 0, 3.2665, 0, 0.28109, 0.057518, 2.2436, 1.3799, 0.40944, 0.15472, 0.11349, 0
6, Intrusion + Guess, 1223.924, 2.6409, 0, 0.29505, 0, 0.49608, 0.70428, 4.0101, 0.11754, 0.14191, 1.6377e-07, 0.038895, 0
7, Intrusion + Guess, 1250.6836, 4.9204, 0, 0.58679, 0, 0.55007, 0.19057, 1.6239, 0.87548, 0.14062, 0.60169, 0.29278, 0
8, Intrusion + Guess, 747.5936, 5.7078, 0, 1.0314, 0, 0.90134, 0.49952, 1.9256, 1.0223, 0.061036, 0.36616, 0.15387, 0
9, Intrusion + Guess, 1503.2055, 3.4404, 0, 4.2079, 0, 0.35352, 9.7873e-05, 2.6055, 1.7495, 0.047264, 0.43344, 0.13667, 0
10, Intrusion + Guess, 1313.6957, 3.3587, 0, 5.8463, 0, 0.10335, 0.27963, 1.6444, 1.1803, 0.16237, 0.57968, 0.18494, 0
11, Intrusion + Guess, 1134.4604, 4.8504, 0, 6.1678, 0, 0.90008, 0.46444, 2.7143, 1.4664, 0.097817, 0.35793, 0.088879, 0
12, Intrusion + Guess, 1329.8751, 2.8315, 0, 0.91475, 0, 0.90055, 0.38324, 1.9381, 0.817, 0.060333, 0.64579, 0.28042, 0
13, Intrusion + Guess, 1819.3198, 0.97628, 0, 0.77999, 0, 0.00022519, 0.080575, 1.9713, 1.0034, 0.14808, 0.60605, 0.25539, 0
14, Intrusion + Guess, 1167.1987, 0.0023851, 0, 3.528, 0, 0.098512, 0.024141, 1.5917, 0.8606, 0.37649, 0.58279, 0.24702, 0
15, Intrusion + Guess, 1077.0948, 4.2844, 0, 1.3581e-05, 0, 0.69931, 0.40328, 1.3936, 0.72194, 0.10708, 0.71658, 0.26151, 0
16, Intrusion + Guess, 1474.8281, 3.5022, 0, 4.4177, 0, 0.90338, 0.15547, 2.4651, 1.5042, 0.024039, 0.48479, 0.035825, 0
17, Intrusion + Guess, 862.0239, 4.6251, 0, 4.7069, 0, 0.00015027, 0.00018147, 1.9597, 0.97158, 0.14608, 0.39108, 0.2401, 0
18, Intrusion + Guess, 1320.4118, 1.8611, 0, 0.33075, 0, 0.28489, 0.91385, 2.904, 1.7422, 0.020439, 0.043275, 0.0019648, 0
19, Intrusion + Guess, 1523.1065, 4.192, 0, 1.0169, 0, 0.90148, 0.015864, 2.5317, 1.0555, 0.20586, 0.36852, 0.26303, 0
20, Intrusion + Guess, 1675.9751, 4.9094, 0, 0.8533, 0, 0.61532, 0.14082, 4.002, 1.8423, 5.9788e-05, 0.6281, 0.3, 0
21, Intrusion + Guess, 1078.6984, 4.7234, 0, 2.8867, 0, 1.2962e-05, 0.77562, 1.5576, 0.87535, 0.17503, 0.61851, 0.24935, 0
22, Intrusion + Guess, 828.9352, 7.5002, 0, 1.7416, 0, 0.26438, 0.89509, 1.8314, 0.56073, 0.13259, 0.7793, 0.27612, 0
23, Intrusion + Guess, 1952.019, 3.8828, 0, 2.888, 0, 0.9006, 0.84859, 3.8918, 1.805, 0.27072, 0.48487, 9.3742e-07, 0
24, Intrusion + Guess, 1185.8436, 4.0007, 0, 4.6488, 0, 0.27098, 5.3273e-05, 2.2722, 1.1002, 0.11551, 0.5396, 0.2199, 0
25, Intrusion + Guess, 1355.934, 7.3904, 0, 0.00013727, 0, 0.1088, 0.75907, 2.3692, 1.1038, 0.11079, 0.61099, 0.26463, 0
26, Intrusion + Guess, 1786.5259, 1.4057, 0, 0.0092934, 0, 2.0912e-05, 0.84141, 3.7841, 1.8885, 0.039686, 0.25352, 0.074973, 0
27, Intrusion + Guess, 943.4398, 4.7991, 0, 2.1187, 0, 0.83632, 0.88244, 1.8522, 0.99215, 1.1825e-05, 0.53757, 0.25786, 0
28, Intrusion + Guess, 1174.0865, 6.2128, 0, 1.6933, 0, 0.11649, 0.005547, 2.7067, 0.83248, 0.051997, 0.79256, 0.24424, 0
29, Intrusion + Guess, 1393.293, 3.5558, 0, 0.00034097, 0, 0.34101, 0.068512, 1.3816, 0.97289, 0.12543, 0.7183, 0.26109, 0
30, Intrusion + Guess, 1285.3878, 7.329, 0, 1.0165, 0, 0.65591, 0.089994, 1.7018, 0.88523, 0.10691, 0.80668, 0.27234, 0
31, Intrusion + Guess, 157.3646, 7.1761, 0, 1.9072, 0, 0.74738, 0.00018921, 2.0773, 1.0064, 0.040725, 0.21872, 0.20287, 0
32, Intrusion + Guess, 1414.6547, 3.9767, 0, 0.85134, 0, 0.0027433, 0.67605, 2.2303, 0.9984, 0.10276, 0.63522, 0.22541, 0
33, Intrusion + Guess, 1832.2178, 1.3325, 0, 1.7174, 0, 0.016559, 0.57813, 4.0033, 1.1325, 0.018002, 0.81248, 0.23272, 0
34, Intrusion + Guess, 1611.1047, 2.6869, 0, 1.9374, 0, 0.03197, 0.2724, 3.9533, 1.8146, 0.20286, 0.24522, 0.026816, 0
35, Intrusion + Guess, 2121.9895, 1.1281, 0, 0.56165, 0, 0.0102, 0.35844, 2.7821, 2.0509, 0.00024023, 0.47362, 0.26487, 0
36, Intrusion + Guess, 820.6391, 5.1603, 0, 1.0281, 0, 0.44033, 0.16773, 1.4802, 0.80814, 0.032904, 0.59888, 0.25103, 0
