participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta_targ, eta_int,  a_targ, a_guess, gamma, beta, kappa, lambda_b, lambda_f, zeta, rho, chi, psi, Ter, st, iota
25, Spatiotemporal Gradient, 1465.5024, 3.735, 0, 0.983, 0, 0.17847, 0.024729, 1.4594, 0.69828, 0.088273, 0.0081339, 0.53717, 0.0084301, 0.59452, 1.2644, 0.27467, 0, 0, 0.23477, 0, 0
26, Spatiotemporal Gradient, 1777.7969, 1.49, 0, 1.4455, 0, 0.094903, 0.028491, 4.0085, 1.7188, 0.015588, 0.19263, 0.56537, 0.78512, 0.34144, 0.037105, 0.038527, 0, 0, 0.074999, 0, 0
27, Spatiotemporal Gradient, 953.5966, 4.5289, 0, 1.3403, 0, 0.26916, 0.010631, 1.7348, 0.99448, 1.1511e-06, 0.55215, 0.22635, 0.39889, 0.78644, 0.0014695, 0.8204, 0, 0, 0.25895, 0, 0
28, Spatiotemporal Gradient, 1189.6621, 4.9944, 0, 1.6638, 0, 0.18001, 0.0029324, 2.2643, 0.88225, 0.022046, 0.78864, 0.00014752, 0.96973, 0.34753, 0.0021009, 0.18938, 0, 0, 0.22949, 0, 0
29, Spatiotemporal Gradient, 1401.7783, 3.3582, 0, 0.030217, 0, 0.8915, 0.017754, 1.377, 0.9431, 0.068886, 0.66608, 0.36608, 0.55064, 0.05493, 0.055268, 0.023522, 0, 0, 0.268, 0, 0
30, Spatiotemporal Gradient, 1291.9578, 4.9429, 0, 0.66346, 0, 0.22516, 0.0026784, 1.335, 0.83695, 0.10275, 0.68097, 0.7118, 0.0066485, 0.14243, 0.096297, 0.00033344, 0, 0, 0.28329, 0, 0
31, Spatiotemporal Gradient, 206.3351, 5.0115, 0, 0.12191, 0, 0.031839, 0.017051, 1.5925, 1.079, 1.0673e-06, 0.22055, 0.19839, 0.43783, 0.69206, 0.05638, 0.32457, 0, 0, 0.20402, 0, 0
32, Spatiotemporal Gradient, 1427.0385, 3.768, 0, 0.11225, 0, 0.053033, 0.017484, 2.1638, 1.055, 0.019793, 0.68321, 0.88754, 0.10801, 0.36172, 3.7299e-07, 0.81727, 0, 0, 0.21411, 0, 0
33, Spatiotemporal Gradient, 1852.5041, 3.8747, 0, 0.6552, 0, 0.00013188, 0.026429, 1.9825, 1.2725, 0.10607, 0.42464, 0.69226, 2.4486, 0.69342, 0.76202, 0.90378, 0, 0, 0.1534, 0, 0
34, Spatiotemporal Gradient, 1620.8306, 2.5472, 0, 1.7246, 0, 0.029929, 0.019749, 3.7597, 1.8127, 0.04655, 0.25268, 0.33739, 2.0041, 0.45748, 0.007127, 7.5117e-05, 0, 0, 0.024413, 0, 0
35, Spatiotemporal Gradient, 2166.0916, 1.0812, 0, 0.1307, 0, 0.078586, 0.029359, 2.3429, 0.81689, 0.05636, 1.1397e-05, 0.6057, 0.089987, 0.92151, 0.035321, 0.59811, 0, 0, 0.2847, 0, 0
36, Spatiotemporal Gradient, 828.0562, 4.9968, 0, 0.14004, 0, 0.12504, 0.0027435, 1.4559, 0.81618, 0.010886, 0.60831, 0.094528, 0.23152, 0.94956, 0.008114, 0.050663, 0, 0, 0.24903, 0, 0
