participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta_targ, eta_int,  a_targ, a_guess, gamma, beta, Ter, st
1, Pure Guess, 119.7066, 7.504, 0, 0, 0, 0.88688, 0, 3.6532, 2.1735, 0, 0.17103, 3.28e-05, 0
2, Pure Guess, 1503.5703, 0.87211, 0, 0, 0, 0.37112, 0, 1.4172, 0.93817, 0, 0.66007, 0.25169, 0
3, Pure Guess, 1182.3078, 5.477, 0, 0, 0, 0.47334, 0, 2.4939, 1.1302, 0, 0.65875, 0.26164, 0
4, Pure Guess, 1189.7226, 3.5184, 0, 0, 0, 0.90166, 0, 1.8311, 1.0516, 0, 0.52197, 0.19507, 0
5, Pure Guess, 1182.1598, 3.1133, 0, 0, 0, 0.43215, 0, 1.7683, 1.1014, 0, 0.51862, 0.25128, 0
6, Pure Guess, 1865.9013, 0.56868, 0, 0, 0, 0.036835, 0, 2.2675, 1.727, 0, 0.44533, 2.5758e-06, 0
7, Pure Guess, 1283.3836, 1.9432, 0, 0, 0, 0.00010737, 0, 1.1194, 1.0636, 0, 0.50607, 0.26059, 0
8, Pure Guess, 752.7466, 5.1458, 0, 0, 0, 0.17611, 0, 1.7816, 1.1253, 0, 0.43341, 0.14789, 0
9, Pure Guess, 1499.2985, 3.8907, 0, 0, 0, 0.60524, 0, 3.0871, 1.7418, 0, 0.47928, 0.086806, 0
10, Pure Guess, 1325.8459, 3.336, 0, 0, 0, 0.27369, 0, 1.4955, 1.0968, 0, 0.73272, 0.19065, 0
11, Pure Guess, 1158.1818, 3.5912, 0, 0, 0, 0.00033497, 0, 1.8899, 1.3169, 0, 0.43544, 0.14026, 0
12, Pure Guess, 1368.6157, 0.57628, 0, 0, 0, 0.26228, 0, 1.0452, 0.061321, 0, 1.2183e-06, 0.2454, 0
13, Pure Guess, 1827.8758, 0.38469, 0, 0, 0, 0.73912, 0, 1.5795, 0.59774, 0, 1.8963e-05, 0.12317, 0
14, Pure Guess, 1206.1169, 0.023554, 0, 0, 0, 0.90617, 0, 1.0768, 0.83326, 0, 0.5079, 0.26501, 0
15, Pure Guess, 1098.5313, 3.7819, 0, 0, 0, 0.048345, 0, 1.1851, 0.87259, 0, 0.79836, 0.23401, 0
16, Pure Guess, 1521.8185, 1.0874, 0, 0, 0, 0.15274, 0, 1.5325, 0.7487, 0, 0.41796, 0.25855, 0
17, Pure Guess, 864.3517, 5.0296, 0, 0, 0, 0.18916, 0, 2.0024, 0.93177, 0, 0.56085, 0.26162, 0
18, Pure Guess, 1319.7392, 2.175, 0, 0, 0, 0.57567, 0, 3.3092, 1.3666, 0, 0.062881, 3.3852e-05, 0
19, Pure Guess, 1539.6503, 5.0226, 0, 0, 0, 0.90095, 0, 3.6644, 1.519, 0, 0.60595, 0.11425, 0
20, Pure Guess, 1947.4797, 0.55616, 0, 0, 0, 0.022459, 0, 2.1645, 0.7081, 0, 2.2549e-05, 2.4235e-05, 0
21, Pure Guess, 1091.2021, 4.5759, 0, 0, 0, 0.017028, 0, 1.5628, 0.90614, 0, 0.77497, 0.24918, 0
22, Pure Guess, 853.6007, 0.41878, 0, 0, 0, 0.30675, 0, 1.2509, 0.56566, 0, 0.81548, 0.27652, 0
23, Pure Guess, 1967.0694, 2.4019, 0, 0, 0, 7.7753e-06, 0, 2.4042, 1.7209, 0, 0.72656, 0.087208, 0
24, Pure Guess, 1200.8013, 4.2649, 0, 0, 0, 6.6674e-05, 0, 2.2847, 1.0681, 0, 0.66688, 0.24001, 0
25, Pure Guess, 1357.3143, 7.4991, 0, 0, 0, 0.6681, 0, 2.8021, 1.2846, 0, 0.70472, 0.2144, 0
26, Pure Guess, 1780.128, 1.4442, 0, 0, 0, 0.019017, 0, 4.0078, 1.7227, 0, 0.22299, 0.008558, 0
27, Pure Guess, 950.629, 6.043, 0, 0, 0, 0.017393, 0, 2.1689, 1.0038, 0, 0.5891, 0.25752, 0
28, Pure Guess, 1200.3198, 1.799, 0, 0, 0, 0.87751, 0, 1.3811, 0.7997, 0, 0.65775, 0.24618, 0
29, Pure Guess, 1390.9179, 2.8528, 0, 0, 0, 0.074821, 0, 1.1841, 1.0606, 0, 0.80272, 0.25245, 0
30, Pure Guess, 1296.754, 0.6091, 0, 0, 0, 0.67285, 0, 1.1609, 0.81536, 0, 0.56297, 0.27393, 0
31, Pure Guess, 151.5619, 7.2584, 0, 0, 0, 0.76795, 0, 2.2117, 1.0828, 0, 0.25931, 0.18762, 0
32, Pure Guess, 1419.2281, 4.1484, 0, 0, 0, 0.045101, 0, 2.4377, 1.1684, 0, 0.74219, 0.18042, 0
33, Pure Guess, 1863.285, 0.8734, 0, 0, 0, 0.76718, 0, 1.851, 1.3992, 0, 0.19781, 0.048725, 0
34, Pure Guess, 1625.7101, 2.9099, 0, 0, 0, 0.56169, 0, 4.0056, 1.8096, 0, 0.43947, 0.11876, 0
35, Pure Guess, 2113.0534, 1.4343, 0, 0, 0, 0.36562, 0, 3.274, 2.1508, 0, 0.55401, 0.20791, 0
36, Pure Guess, 814.4683, 5.1477, 0, 0, 0, 0.096374, 0, 1.5056, 0.84846, 0, 0.63135, 0.24337, 0
