participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta_targ, eta_int,  a_targ, a_guess, gamma, beta, kappa, lambda_b, lambda_f, zeta, rho, chi, psi, Ter, st
26, Spatiotemporal Gradient, 1840.8644, 1.4172, 0, 0.30171, 0, 0.005594, 0.0025443, 4.0065, 1.9155, 4.7781e-06, 0.28993, 0.67289, 0.011671, 0.77852, 0.060816, 0.37436, 0, 0, 0.090587, 0
27, Spatiotemporal Gradient, 953.6815, 4.5005, 0, 0.015942, 0, 0.27764, 0.0024622, 1.6848, 0.97911, 1.3699e-06, 0.55269, 0.70817, 0.055043, 0.55835, 0.032368, 0.62202, 0, 0, 0.26803, 0
28, Spatiotemporal Gradient, 1189.6859, 5.0005, 0, 0.1083, 0, 0.06354, 0.016138, 2.1409, 0.86217, 0.035173, 0.78499, 0.024546, 0.19349, 0.93402, 0.014136, 0.18958, 0, 0, 0.23734, 0
29, Spatiotemporal Gradient, 1401.8613, 3.1818, 0, 0.10391, 0, 0.12462, 0.021886, 1.3013, 0.91894, 0.075515, 0.60982, 0.39416, 0.030013, 0.54482, 0.032946, 0.43201, 0, 0, 0.27037, 0
30, Spatiotemporal Gradient, 1316.3194, 5.0023, 0, 0.082794, 0, 0.043887, 0.011406, 1.5025, 0.91074, 0.042649, 0.80984, 0.48606, 0.011264, 0.0052642, 0.063546, 0.16339, 0, 0, 0.2685, 0
31, Spatiotemporal Gradient, 208.4189, 5.0105, 0, 0.090105, 0, 0.071388, 0.040822, 1.5773, 1.0519, 0.0050879, 0.193, 0.32215, 0.40692, 1.212, 0.027224, 0.047491, 0, 0, 0.20688, 0
32, Spatiotemporal Gradient, 1427.6091, 3.6995, 0, 0.014586, 0, 0.19881, 0.015961, 2.1355, 1.0469, 0.018261, 0.67531, 0.50368, 0.10358, 0.009548, 0.067044, 0.36751, 0, 0, 0.21618, 0
33, Spatiotemporal Gradient, 1927.0775, 1.1385, 0, 0.074728, 0, 0.093463, 0.0086453, 4.0023, 1.1468, 0.0084549, 0.80578, 0.65559, 0.0042798, 1.4079, 0.051112, 0.87628, 0, 0, 0.22589, 0
34, Spatiotemporal Gradient, 1652.3981, 2.778, 0, 0.065096, 0, 0.0022339, 0.12143, 3.9619, 1.8857, 1.0244e-06, 0.45797, 0.88048, 0.51289, 1.9973, 0.037426, 0.78075, 0, 0, 0.077216, 0
35, Spatiotemporal Gradient, 2209.7601, 1.078, 0, 0.12652, 0, 0.078346, 4.4355e-05, 2.3614, 0.68791, 0.062691, 4.0236e-07, 0.3394, 0.1417, 2.6234, 0.00092025, 0.72919, 0, 0, 0.2767, 0
36, Spatiotemporal Gradient, 829.095, 4.9943, 0, 0.11784, 0, 0.26038, 0.010816, 1.4123, 0.79078, 0.013254, 0.60466, 0.083683, 0.017519, 1.045, 0.023498, 0.00039228, 0, 0, 0.25872, 0
