participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta_targ, eta_int,  a_targ, a_guess, gamma, beta, Ter, st
1, Intrusion + Guess, 143.2521, 6.5679, 0, 0.8267, 0, 0.32224, 0.90595, 3.2257, 0.69718, 0.14003, 0.0095706, 1.5838e-05, 0
2, Intrusion + Guess, 1502.9014, 2.3705, 0, 0.86808, 0, 0.65774, 0.060762, 1.717, 0.90632, 0.16021, 0.65346, 0.25827, 0
3, Intrusion + Guess, 1188.5127, 5.4877, 0, 0.54935, 0, 0.49142, 0.62224, 2.5013, 1.1311, 1.7729e-05, 0.65713, 0.26149, 0
4, Intrusion + Guess, 1177.8943, 3.0934, 0, 0.6616, 0, 0.46564, 0.00017346, 1.5497, 0.83534, 0.10173, 0.41634, 0.24234, 0
5, Intrusion + Guess, 1166.3334, 2.904, 0, 3.3087, 0, 0.037276, 0.078636, 1.8949, 1.2652, 0.27483, 0.23181, 0.18971, 0
6, Intrusion + Guess, 1231.0412, 2.8366, 0, 0.48771, 0, 0.64065, 0.51065, 4.0027, 2.224, 0.055128, 0.053508, 0.13959, 0
7, Intrusion + Guess, 1249.5385, 4.7988, 0, 0.21186, 0, 0.90031, 0.37075, 1.6348, 0.87222, 0.1323, 0.59418, 0.29292, 0
8, Intrusion + Guess, 747.3353, 5.5335, 0, 0.39383, 0, 0.90327, 0.31065, 1.8124, 1.0194, 0.045029, 0.37477, 0.16503, 0
9, Intrusion + Guess, 1504.8095, 4.1331, 0, 0.71612, 0, 0.77205, 0.90206, 3.2769, 1.7344, 0.0059936, 0.47321, 0.083666, 0
10, Intrusion + Guess, 1327.0103, 3.0762, 0, 1.5838, 0, 0.2042, 0.00063972, 1.4032, 1.0837, 0.20387, 0.51399, 0.18909, 0
11, Intrusion + Guess, 1160.6849, 4.3478, 0, 0.72998, 0, 0.90291, 0.66864, 1.8948, 0.92705, 0.19726, 0.26681, 0.21093, 0
12, Intrusion + Guess, 1329.3351, 2.5114, 0, 0.68064, 0, 0.79764, 0.29691, 1.7986, 0.81536, 0.049909, 0.63431, 0.28028, 0
13, Intrusion + Guess, 1819.5278, 2.9717, 0, 0.88396, 0, 0.90137, 0.90133, 2.1532, 1.4667, 0.001597, 0.79183, 0.12376, 0
14, Intrusion + Guess, 1170.0618, 0.93309, 0, 3.2953, 0, 0.00020549, 0.010121, 1.4996, 0.79819, 0.48153, 0.4461, 0.26026, 0
15, Intrusion + Guess, 1109.5937, 0.72971, 0, 1.601, 0, 0.28396, 0.037957, 1.0176, 0.69299, 0.0021203, 0.60081, 0.26279, 0
16, Intrusion + Guess, 1487.3065, 3.3513, 0, 2.3134, 0, 0.00038038, 0.89977, 2.0781, 1.4672, 0.013521, 0.55638, 0.069085, 0
17, Intrusion + Guess, 869.7988, 4.9877, 0, 2.0632, 0, 0.27473, 0.035069, 1.9168, 0.86729, 0.061782, 0.49803, 0.27511, 0
18, Intrusion + Guess, 1310.9237, 1.6173, 0, 4.6384, 0, 0.025146, 0.90427, 2.7364, 1.3247, 0.038479, 0.022498, 2.1326e-05, 0
19, Intrusion + Guess, 1527.7855, 4.4836, 0, 1.1523, 0, 0.90251, 0.44863, 2.6137, 1.0449, 0.24853, 0.35288, 0.26076, 0
20, Intrusion + Guess, 1679.6472, 4.2956, 0, 0.7447, 0, 0.00027981, 0.46094, 3.6648, 1.8367, 3.4294e-05, 0.63989, 0.28256, 0
21, Intrusion + Guess, 1061.5113, 5.0232, 0, 3.9443, 0, 0.24831, 0.10008, 1.7415, 0.94896, 0.36725, 0.42876, 0.22125, 0
22, Intrusion + Guess, 843.1064, 7.4954, 0, 0.86609, 0, 0.12005, 0.52182, 1.7456, 0.65053, 0.086461, 0.81337, 0.25931, 0
23, Intrusion + Guess, 1949.5194, 3.3006, 0, 2.5444, 0, 0.62577, 6.3225e-05, 3.2764, 1.8347, 0.20443, 0.52609, 0.0010953, 0
24, Intrusion + Guess, 1199.2998, 4.7188, 0, 2.6985, 0, 0.031094, 3.2281e-07, 2.3752, 1.0383, 0.056108, 0.63192, 0.2517, 0
25, Intrusion + Guess, 1353.8488, 7.2616, 0, 6.85, 0, 0.069654, 0.90173, 2.8277, 1.3855, 0.17778, 0.55628, 0.19557, 0
26, Intrusion + Guess, 1778.8515, 1.4539, 0, 1.8755, 0, 0.16097, 0.91454, 4.0024, 1.8513, 0.14454, 0.097044, 9.8155e-05, 0
27, Intrusion + Guess, 943.7831, 4.4822, 0, 1.8913, 0, 0.12758, 0.85243, 1.7172, 0.99322, 0.0037176, 0.5484, 0.25904, 0
28, Intrusion + Guess, 1174.4968, 6.804, 0, 1.804, 0, 0.56896, 0.05114, 2.9692, 0.83802, 0.045524, 0.80186, 0.24327, 0
29, Intrusion + Guess, 1394.4297, 4.1262, 0, 0.82376, 0, 0.9, 0.42674, 1.5362, 0.93715, 0.16189, 0.69267, 0.26792, 0
30, Intrusion + Guess, 1285.3285, 6.8517, 0, 0.88728, 0, 0.19026, 0.073116, 1.6192, 0.88471, 0.11065, 0.80412, 0.2723, 0
31, Intrusion + Guess, 160.1634, 7.0134, 0, 2.1808, 0, 0.30675, 0.30884, 2.017, 1.0006, 0.064905, 0.20815, 0.20326, 0
32, Intrusion + Guess, 1414.5984, 4.6276, 0, 1.0526, 0, 0.75048, 0.045965, 2.6298, 1.0297, 0.057648, 0.68629, 0.21967, 0
33, Intrusion + Guess, 1852.332, 3.9356, 0, 0.26952, 0, 0.0015367, 0.44883, 2.3146, 1.5576, 0.079677, 0.69335, 0.080962, 0
34, Intrusion + Guess, 1617.3314, 2.8476, 0, 1.8916, 0, 0.39837, 0.72079, 4.0006, 1.7429, 0.13477, 0.28747, 0.10078, 0
35, Intrusion + Guess, 2100.4376, 1.5298, 0, 1.39, 0, 0.28084, 0.012427, 3.4836, 1.9791, 0.2872, 0.30193, 0.20782, 0
36, Intrusion + Guess, 821.1511, 4.8152, 0, 7.4993, 0, 0.0053453, 0.90178, 1.4498, 0.8521, 0.00049983, 0.61428, 0.24203, 0
