participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta_targ, eta_int,  a_targ, a_guess, gamma, beta, kappa, lambda_b, lambda_f, zeta, rho, chi, psi, Ter, st
1, Multiplicative, 2347.2312, 3.2672, 0, 4.2778e-05, 0, 0.54789, 0.029166, 2.2457, 1.1263, 0.020135, 0.082517, 0.26362, 1.6129, 0.42927, 0.53611, 0.41121, 0.010198, 0.11927, 0.228, 0
2, Multiplicative, 2104.444, 5.0112, 0, 0.077326, 0, 0.62039, 0.0003625, 4.0003, 1.6189, 1.1838e-05, 0.22198, 0.32972, 0.34723, 1.1514e-05, 0.54667, 0.31123, 0.19377, 0.12627, 0.014402, 0
3, Multiplicative, 3306.2384, 4.6116, 0, 0.10006, 0, 0.20071, 0.020586, 2.0396, 1.1751, 0.034949, 0.40835, 0.46883, 0.29251, 0.21965, 0.94564, 0.24801, 0.23307, 0.11077, 0.1952, 0
4, Multiplicative, 3011.9944, 4.6493, 0, 0.038925, 0, 0.073239, 0.0020937, 3.359, 1.8822, 5.7262e-06, 0.33071, 0.077755, 1.4892, 0.48274, 0.54221, 0.11842, 0.12756, 0.27461, 0.00011759, 0
5, Multiplicative, 4141.6423, 1.0648, 0, 0.029384, 0, 0.013962, 0.015169, 0.65297, 1.2814, 0.027236, 0.26853, 0.68827, 0.58312, 0.97652, 0.42306, 0.12913, 0.0020122, 0.034541, 0.25233, 0
