"","participant","nLL","aic","prec1","prec2","gamma","kappa","lambda_b","lambda_f","beta","zeta","rho","chi","psi","iota"
"result.1",1,657.596711880667,1339.19342376133,20.7332308562083,1.04360646015091,0.0466672856592223,0.948253751821438,3.85456308278191,1.42212737107041,0.00847806055098772,0.990737050719816,0.847825824800908,0.00311454058151318,0.173449596624269,0.117626911224221
"result.2",2,417.725344320309,859.450688640619,36.4122514941355,13.3964931075403,0.0479966444257972,0.82699939652553,1.79706115169462,4.98249797150493,0.0969912597387708,0.98256471870921,0.479148581156488,0.19128524106747,0.9562098625668,0.168882253566224
"result.3",3,1412.53539749227,2849.07079498453,15.2193437879757,13.8681675168176,0.0535212649323965,0.99752514982761,4.59304856090205,4.73021951839695,0.340427797248148,0.992767770981677,0.626863506156951,0.0185647495621389,0.98562518315908,0.177611005355056
"result.4",4,961.261016307259,1946.52203261452,22.2272911205119,13.2106252157323,0.122306667809027,0.435832911822945,1.41544639284049,4.96511395866645,0.0534660852382195,0.953936764164068,0.578083862058343,0.0394933599439517,0.466587213802171,0.0564881668959555
"result.5",5,1981.00748856408,3986.01497712815,19.2285205223255,8.36515943893918,0.308589154249057,0.541530726275312,0.0750676240920016,1.34465365973301,0.538433615713802,0.554657718000277,0.562587872066684,0.245347925782507,0.721361686747022,0.0179826560600737
