"","participant","nLL","aic","prec1","prec2","gamma","kappa","lambda_b","lambda_f","beta","beta_primacy","beta_recency","zeta","chi","psi"
"result.1",1,540.919709660233,1105.83941932047,19.9816616831544,1.26399561329653,0.0804450560717764,0.980259633419971,4.40369281050504,0.371558946680311,0.0083457752670814,0.746829304532695,0.284869361196005,0.289812570203821,0.00389468451855761,3.55401081498712
"result.2",2,265.355748417063,554.711496834127,37.966089833872,12.1618901347346,0.104060270270726,0.661175279236208,0.257917185381899,0.411780294891138,0.069923552333255,0.540753253975977,0.0114643827710262,0.50585901153355,0.0243669360052344,3.2043947828753
"result.3",3,1173.86061486187,2371.72122972373,15.671475217202,14.4281792203724,0.0759643139559923,0.549453085280698,4.47104674362414,0.665486719534799,0.292216462970198,0.744771415502272,0.111201184907743,0.341385482141879,0.00133050808999739,1.82456892150039
"result.4",4,739.940943131508,1503.88188626302,22.9696608581795,17.6794789481669,0.190246624094768,0.851483514389481,0.0759516829132669,1.55909048434571,0.0544625296085307,0.734568590954742,0.122538706584741,0.0280893845988448,0.00504940715597319,3.52016086002027
"result.5",5,1773.52544420254,3571.05088840507,22.5509032578629,9.65436965511012,0.223407460493741,0.137466799100438,2.94241112748516,0.995741911215227,0.544101942999147,0.181364472589798,0.338953204986692,0.246085766947807,0.193809890118903,3.09074621392065
