"","participant","nLL","aic","prec1","prec2","gamma","kappa","lambda_b","lambda_f","beta","zeta","rho","cho"
"result.1",1,537.368112320768,1094.73622464154,20.7769961952827,1.44830712949352,0.0783708218167564,0.988313944514164,4.99437535299266,0.139321091954001,0.000600731062881563,0.998975840190788,0.429842697965642,0.197884531766078
"result.2",2,265.22826436377,550.45652872754,38.2134030587581,12.487343978026,0.103322988546927,0.551231494449714,0.301181150171344,0.341357451638415,0.0741689414160837,0.93313658215379,0.0213736831057132,0.519698108986781
"result.3",3,1173.60550983215,2367.21101966431,15.8503340020678,13.3404615815649,0.0813165403857947,0.954644145909697,4.9682792022831,0.609382490657989,0.286027372783627,0.995662412357741,0.155086195496985,0.309833690652968
"result.4",4,739.173828830535,1498.34765766107,22.7712996902769,17.8492728041307,0.21579040990955,0.751224373060757,0.0863869022952191,1.14849766998875,0.0475776654197623,0.950974693987519,0.123204692156784,0.0253583280389658
"result.5",5,1773.49935124204,3566.99870248408,18.9246747848956,10.119130467914,0.336050384775367,0.46161060613711,0.0184453633704027,0.224510529166381,0.535578061647755,0.163962545472702,0.232176632423339,0.102026774320326
