"","participant","nLL","aic","prec1","prec2","gamma","kappa","lambda_b","lambda_f","beta","beta_primacy","beta_recency","zeta"
"result.1",1,536.07454675861,1092.14909351722,20.9067075125981,1.7149623315501,0.503141028703482,0.463144660952652,0.37903960785675,0.143301855850464,0.0422452193218427,0.0345159092881691,0.00671374875668116,0.999041631229933
"result.2",2,270.810262038225,561.62052407645,37.6408420368268,10.6838797431203,0.180746010347299,0.52779834779796,0.21390411673381,0.203498868983782,0.0639081781848934,0.061965505339503,0.128362785314306,0.2689436769534
"result.3",3,1169.26258490898,2358.52516981795,16.5799710314452,8.3494929151523,0.392100849532597,0.724008008039423,0.869731671510657,0.33600100102363,0.277196420762526,0.275475155556053,0.400958886110127,0.995477527599729
"result.4",4,733.331828678842,1486.66365735768,22.6704721734653,20.3010439185778,0.478211669242835,0.631043104358952,0.120050458908262,0.471011327067599,0.0689640207727297,0.000708242969909955,0.19911420275566,0.413013906220671
"result.5",5,1773.37711287487,3566.75422574973,13.9312517960561,12.3863252412943,1.40150123167046,0.488666092983328,0.000245913025391885,0.0500274715519476,0.557956262129214,0.557816976628917,0.365669946746746,0.0385999351190333
