"","participant","nLL","aic","prec1","prec2","gamma","kappa","lambda_b","lambda_f","beta","zeta","rho","psi"
"result.1",1,538.031600289925,1096.06320057985,20.8126278608925,1.49283015356138,0.0653175496985853,0.994092803378652,2.81053822138347,0.298766249824451,0.00260203254105645,0.996445999161444,0.567323142547756,0.00232690588492938
"result.2",2,271.29962975668,562.599259513361,38.0415609375657,12.4373679269028,0.0585513185095741,0.535203083618995,0.428213929823251,0.42443895559883,0.0681079735787217,0.996283979984567,0.134511528172133,0.276988520368012
"result.3",3,1174.19926130449,2368.39852260897,16.1468082507771,11.9779889625998,0.0707713762823886,0.243447346035163,4.25932034304395,0.541934243402087,0.293322449911252,0.993873167591291,0.223716945555261,0.0021409693038186
"result.4",4,740.385827259438,1500.77165451888,23.2310526630855,17.7044838172032,0.195505599939705,0.743458749897988,0.211492828248484,1.36426649544896,0.0697973284695625,0.916211791802198,0.0939235642347228,0.0269392833579332
"result.5",5,1773.71500981368,3567.43001962737,18.7433305241055,11.2123390049354,0.212203692464815,0.794338318449985,0.0595170166343451,1.35106221692973,0.550048357404858,0.171360312566138,0.359080762017616,0.192402044745203
