"","participant","nLL","aic","prec1","prec2","gamma","kappa","lambda_b","lambda_f","beta","zeta","rho","cho"
"result.1",1,537.422391869081,1094.84478373816,20.7892652435599,1.44720829952243,0.0830532713699011,0.94848369526002,2.2335187995293,0.158184806175792,0.00259485596639639,0.999737238593032,0.377022912565359,0.240392095617395
"result.2",2,265.119998288539,550.239996577079,38.3221006180949,11.295253775608,0.107619231276929,0.53105042346521,0.286347291924264,0.296548695132081,0.0676212894272131,0.988403287020002,0.0387547529547568,0.461169251397081
"result.3",3,1173.60035245162,2367.20070490325,15.8470330469569,13.8953089684045,0.0804272410199916,0.872733901817608,4.15740025805172,0.739868641324715,0.288218523289179,0.999640524151978,0.153783321095606,0.317530049609782
"result.4",4,738.975804850829,1497.95160970166,22.0142985142068,17.9782594516027,0.243481694996811,0.785058438281981,0.0570784285785041,1.20664411305185,0.0591542620321431,0.994627299130932,0.0864238726175346,0.0250027863896173
"result.5",5,1773.42172589701,3566.84345179401,19.3207869736525,9.8611109672606,0.23292591889428,0.756553150629771,0.00225222382643819,0.996890377718955,0.5339853595738,0.0919505153095538,0.337719856928069,0.196583500785357
