"","participant","nLL","aic","prec1","prec2","gamma","kappa","lambda_b","lambda_f","beta","zeta","rho"
"result.1",1,544.058615525862,1106.11723105172,21.0189925348407,1.58599360265821,0.151922690583141,0.879991926586627,0.00427857121886188,0.206760224777779,0.16855125654818,0.999289968443276,0.997247208176372
"result.2",2,271.057535461165,560.115070922329,38.6957365942168,8.79277707497344,0.219214556473297,0.709832543465366,1.07075712174442,0.568206872027911,0.159132257213801,0.672041313242816,0.748237704448219
"result.3",3,1170.25759621774,2358.51519243549,16.4896194133512,7.57038241649244,0.218667882687743,0.999979821456279,4.8351295784976,4.29329342822008,0.373668103551927,0.998675555019851,0.842511908164079
"result.4",4,745.45327184112,1508.90654368224,23.3705129560523,28.0477098140845,0.162361694253133,0.0381831152553138,2.67246347029957,0.393477215868746,0.274171225991105,0.529718091581209,0.9262911256447
"result.5",5,1771.2242493402,3560.44849868039,22.0888792632569,11.0051890265128,0.107774739123057,0.89048443121821,0.00669549088166048,1.01002342245041,0.891107182293563,0.311014059648676,0.759687127291559
