"","participant","nLL","aic","prec1","prec2","gamma","kappa","lambda_b","lambda_f","beta","zeta","rho","chi","psi"
"result.1",1,534.953209779992,1091.90641955998,20.563376920082,1.58797124189719,0.0428114270447792,0.0554529239889234,0.0708433264251798,4.34373597847298,0.00545570893176649,0.986168259728907,0.830671867426075,0.868337994319329,0.00116181350753053
"result.2",2,265.273444001,552.546888002001,38.0308872210185,13.4826645361033,0.0905147035142444,0.487584027556396,0.413792312013528,0.325052062109826,0.0777058027687133,0.968620612954529,0.0256113733466251,0.552597001442191,0.036962570473185
"result.3",3,1173.6197620519,2369.23952410381,15.8597337904138,13.2957088243271,0.0774998382051635,0.968217895273715,4.77313848967456,0.758377978060601,0.291103860804518,0.994674795510436,0.163910798241049,0.332030361469152,0.00438138967328651
"result.4",4,739.21936013867,1500.43872027734,23.8535692028622,14.9703747156348,0.229725314051994,0.760571585594505,0.0924952079073094,1.10628184798708,0.0400870653569063,0.994383296230808,0.0805990161166132,0.0320231484198371,0.0456218303473442
"result.5",5,1773.56559912424,3569.13119824849,21.0021072139541,10.22123841375,0.0916465891871811,0.604970091025381,4.96631179004908,0.0596083842209659,0.545656427057105,0.17093299875089,0.942948904555826,0.454714732872016,0.516356905034391
