"","participant","nLL","aic","prec1","prec2","gamma","kappa","lambda_b","lambda_f","beta","zeta","rho"
"result.1",1,535.017508569407,1088.03501713881,21.2572542836947,1.43068469931782,0.0548201007676127,0.378501626300845,4.12050381865632,0.238122421579571,0.0025738284318705,0.997107999088185,0.958095679234267
"result.2",2,271.807423591706,561.614847183412,38.0489520951016,13.8393202362965,0.0303774134257653,0.553003666285791,0.407610219647735,0.485608251792663,0.0828137871214349,0.434183326504488,0.624114980169901
"result.3",3,1170.85944769408,2359.71889538815,16.4373118340658,9.09548706963079,0.0688624024878343,0.999437143550592,4.9882246425841,2.31618821763512,0.315675452407944,0.999553775282212,0.838900425125042
"result.4",4,740.311637039608,1498.62327407922,22.6593984750705,12.1885957989795,0.107099379939338,0.896430330908005,0.0685135680185326,1.31966133785004,0.0531149402654212,0.54744341748269,0.612090408687143
"result.5",5,1771.30800679141,3560.61601358282,20.2850317586876,11.5966030875232,0.141827997125594,0.762880788722641,9.72699480209103e-05,0.600261753828984,0.831085077002666,0.339193828345555,0.587087280066922
