"","word","FREQcount","CDcount","FREQlow","CDlow","SUBTLWF","Lg10WF","SUBTLCD","Lg10CD","length"
"4234","bore",395,340,388,338,7.75,2.5977,4.05,2.5328,4
"4272","mere",401,336,354,308,7.86,2.6042,4.01,2.5276,4
"4402","bold",385,323,351,299,7.55,2.5866,3.85,2.5105,4
"4444","rack",397,320,362,303,7.78,2.5999,3.81,2.5065,4
"4705","prep",385,295,266,219,7.55,2.5866,3.52,2.4713,4
"4718","cans",391,293,379,288,7.67,2.5933,3.49,2.4683,4
"4755","soil",397,291,383,282,7.78,2.5999,3.47,2.4654,4
"4775","auto",391,289,289,226,7.67,2.5933,3.45,2.4624,4
"4910","seed",386,278,371,272,7.57,2.5877,3.31,2.4456,4
"4946","Hush",388,274,157,132,7.61,2.5899,3.27,2.4393,4
"5133","tuck",406,262,230,197,7.96,2.6096,3.12,2.42,4
"5274","unto",389,251,373,246,7.63,2.5911,2.99,2.4014,4
"5377","Ahem",391,242,52,43,7.67,2.5933,2.89,2.3856,4
"5664","bass",385,224,306,188,7.55,2.5866,2.67,2.3522,4
"8082","Cuba",391,130,8,6,7.67,2.5933,1.55,2.1173,4
"9109","Mona",390,108,3,3,7.65,2.5922,1.29,2.0374,4
"11307","Joel",396,76,0,0,7.76,2.5988,0.91,1.8865,4
