"","participant","nLL","aic","prec1","prec2","gamma","kappa","lambda_b","lambda_f","beta","beta_primacy","beta_recency"
"result.1",1,694.984224819959,1407.96844963992,24.777617859975,12.4612525794724,1.76699561626458e-10,0.777070050505509,3.08121858502532,0.0346645615813829,0.849533243963581,0.131259264358408,0.0589784816019825
"result.2",2,456.806823793299,931.613647586599,47.3567768178379,42.4661923408898,8.19551357705952e-11,0.14632243586184,0.129756069509313,1.89302632480681,0.739938305802706,0.118743756515927,0.189402519390629
"result.3",3,1203.08415043921,2424.16830087843,18.7443230879236,28.8880062577082,2.18064226036382e-10,0.958044809048715,4.96102041347393,0.000587420558214155,0.889199769484286,0.360379120474804,0.4139524891124
"result.4",4,864.011374032616,1746.02274806523,27.6339075740543,49.9999743474007,0.0223123136638471,0.998760593482692,4.88694148751718,1.40364529682799,0.710892960789994,0.0391819336612232,0.329032134933308
"result.5",5,1778.50207418077,3575.00414836153,6.69803186170474,12.8082330607504,0.999911729983461,0.604900808418429,0.0633708153851063,0.288663770741149,0.232574474532157,0.59962933132725,0.468609201819839
