"","participant","nLL","aic","prec","beta"
"1",1,554.599167499517,1113.19833499903,19.6198786609419,0.149328129560313
"2",2,284.032088981144,572.064177962288,37.7241807156713,0.150512475563202
"3",3,1178.95272886879,2361.90545773758,15.3012273162181,0.352541430884693
"4",4,801.150581823366,1606.30116364673,21.324428781193,0.240818654223817
"5",5,1803.47964714842,3610.95929429684,15.4414489867309,0.862962122356437
