"","participant","nLL","aic","prec","beta"
"1",1,-69.6398402460922,-135.279680492184,57.5147890219651,0.0753795018391493
"2",2,643.574731336131,1291.14946267226,3.71778915582244,0.799724924629421
"3",3,562.502136209459,1129.00427241892,13.1683807310114,0.611056752491645
"4",4,552.976960503521,1109.95392100704,9.0516317818917,0.565609748526727
"5",5,542.237044161365,1088.47408832273,11.80204902772,0.567078207748589
"6",6,163.798913856858,331.597827713716,18.4877536613832,0.121494027392163
"7",7,596.47955016539,1196.95910033078,8.36381294394172,0.677010811129442
"8",8,435.91642696271,875.832853925421,19.7911673606129,0.47163105798384
"9",9,497.658245586233,999.316491172467,11.4146437314432,0.472221440045174
"10",10,594.666720972755,1193.33344194551,20.551006129294,0.760293679466156
"11",11,470.579814247425,945.15962849485,11.5780144087103,0.4288377313742
"12",12,619.342040365399,1242.6840807308,7.70971083428399,0.728225758057777
"13",13,618.489030724657,1240.97806144931,5.59446350824044,0.76606226029572
"14",14,652.280856914947,1308.56171382989,128.434790256206,0.992676791793024
"15",15,627.102148452866,1258.20429690573,5.50136820007342,0.801296671133832
"16",16,499.470327527542,1002.94065505508,11.6181331446978,0.497592385121771
"17",17,526.641234671378,1057.28246934276,12.1608051269704,0.539143307610054
"18",18,163.942052421628,331.884104843257,11.6248411129329,0.0624828415918466
"19",19,517.560904965727,1039.12180993145,24.2973271873338,0.580856304415474
"20",20,520.264875605744,1044.52975121149,21.8314341287377,0.578414108152368
"21",21,635.169722524616,1274.33944504923,8.73331597018775,0.805012710177152
"22",22,570.232279535938,1144.46455907188,60.6903787918814,0.882569562320416
"23",23,604.208844581593,1212.41768916319,15.1662968261658,0.731659442286101
"24",24,589.654670923635,1183.30934184727,20.953726936824,0.717425239998059
"25",25,566.514431042951,1137.0288620859,20.8429687841224,0.658655462145801
"26",26,365.573757663716,735.147515327432,13.211056559067,0.310662472453186
"27",27,536.858761335142,1077.71752267028,12.7045278657763,0.569757478906257
"28",28,617.95775278329,1239.91550556658,23.7993336231488,0.829217969040692
"29",29,643.042851593337,1290.08570318667,11.7747057800504,0.866947044943873
"30",30,644.78275665165,1293.5655133033,22.1936739187364,0.915886879315333
"31",31,300.554462588826,605.108925177652,15.1338798255767,0.238052294901537
"32",32,602.476894174966,1208.95378834993,15.9629973683034,0.745748528759341
"33",33,568.606922532095,1141.21384506419,18.7130790084483,0.676005885357953
"34",34,474.023804282585,952.047608565171,12.4333522476971,0.440231755663441
"35",35,584.317549541598,1172.6350990832,6.01608635345229,0.637566511381955
"36",36,557.566602383619,1119.13320476724,10.6712478942131,0.632852615168937
