"","participant","nLL","aic","prec1","prec2","gamma","kappa","lambda_b","lambda_f","beta","zeta","rho","chi","iota"
"result.1",1,657.561597633519,1337.12319526704,20.6103291599489,1.14584975337097,0.047622898684501,0.988481053849682,2.63928988342755,0.667449345929865,0.00832731722997073,0.951495108884521,0.87101230330798,0.00343893019353112,0.424833604175407
"result.2",2,417.877673669682,857.755347339364,36.8606665332931,14.4803083887099,0.0368110284077271,0.825249269121838,1.54510377886061,4.96236188741772,0.103665424209587,0.978340960556927,0.572203468950187,0.0317453244189226,0.00216415396469716
"result.3",3,1412.61573924515,2847.2314784903,15.1843149243202,13.8123987827573,0.0499244708214823,0.987799786773656,4.39469078890175,4.64303607408055,0.335563647905579,0.991891685193113,0.641724987580388,0.00171796397644947,0.0777477162391585
"result.4",4,961.208844984551,1944.4176899691,22.0863096368242,12.5917919308712,0.147759155339194,0.574505999065148,0.765431099211002,4.91326209130332,0.0509643911172422,0.981210488380022,0.512481387999333,0.0153843912223659,0.0760255486238748
"result.5",5,1981.07173035112,3984.14346070225,14.7814397431925,10.0894229054218,0.428280492665502,0.554318906688162,0.0895186418697009,1.17575419757312,0.553645874543073,0.461558314040303,0.283051508507047,0.190273891188538,0.0517345790832491
