"","participant","nLL","aic","prec1","prec2","gamma","kappa","lambda_b","lambda_f","beta"
"result.1",1,-71.1531133281459,-128.306226656292,49.9918285287538,48.5108508580774,0.0746789953012662,0.551537836411505,0.00155288219307432,0.0244698818018235,0.0370624673086791
"result.2",2,640.941206410756,1295.88241282151,3.05601164773482,0.54322548596988,0.998382034214195,0.100873208020534,0.897193072752876,0.0530322734406545,0.311487042264109
"result.3",3,558.990906249613,1131.98181249923,13.0875506352576,10.5187683077796,0.224140052154674,0.958627593589565,0.860660237251936,3.86340912854856,0.518582794726489
"result.4",4,548.895223352727,1111.79044670545,9.53486426927226,9.52775527937115,0.463801448961691,0.389165134781943,0.386061097455497,0.00016325285744046,0.423443723467107
"result.5",5,533.956383637189,1081.91276727438,14.047421978115,14.0442604575301,0.672299761224201,0.639884585981319,6.99725149046209e-05,0.138344560398337,0.342719029757857
"result.6",6,154.666124763627,323.332249527253,19.038570759182,0.100010415503672,0.251985265083715,0.00152258962444438,0.00020551836939949,4.85295420177732,2.5410205711966e-07
"result.7",7,588.792796483033,1191.58559296607,8.66129836083584,5.54782154327538,0.811629155564586,0.425940265166898,0.248066670056831,5.83460341703675e-05,0.422788285170208
"result.8",8,426.397314470297,866.794628940593,18.7079151280568,10.8190214223376,0.452265734885208,0.718091581836025,0.080740384327482,0.450105387262739,0.245600694340863
"result.9",9,490.336077526511,994.672155053021,11.1581097501947,5.3370982856579,0.331162273382108,0.0959256734456368,2.83126093437116,0.379869843006667,0.302072125114242
"result.10",10,580.032506817305,1174.06501363461,20.209746473174,11.0655981060966,0.999851757581582,0.36432078955677,0.136957433402766,0.00225368898631041,0.418711446839532
"result.11",11,462.832522685952,939.665045371904,11.8278050742133,1.35601242982562,0.745797253832735,0.444904183071275,0.174799919445382,0.0174397807634562,0.041862512282733
"result.12",12,615.244589404857,1244.48917880971,6.92662276644533,0.104255854964178,0.701460638140831,0.810716010558198,0.999924042215728,2.98805204629631,0.297402404169957
"result.13",13,615.881372654102,1245.7627453082,4.6960078681602,0.10052182766381,0.762912483748833,0.24891209049353,1.13448956290597,0.631017386860375,0.333729167476259
"result.14",14,648.1298231994,1310.2596463988,7.91886022746278,7.91698283571036,0.999952869057873,0.347281506963929,4.95442736562736,1.48732059570945,0.891583960919156
"result.15",15,621.805729390206,1257.61145878041,5.48488693229931,5.48413215431624,0.433721665514353,0.636009029894201,4.8668140271901,4.9883653861621,0.675441633218582
"result.16",16,490.055598738415,994.111197476831,12.8193207295828,8.61457954259499,0.47688105360504,0.723574163664959,0.134357842251701,0.812905232292444,0.297760679796224
"result.17",17,520.52961259105,1055.0592251821,12.3430120408372,11.4358705050264,0.537707578696047,0.776159031900735,0.00536942875873861,0.0563417918763211,0.359831217630051
"result.18",18,163.757162467593,341.514324935185,11.6249022100943,0.646637473008562,0.0863826064993768,0.565020228798041,0.026153184286767,0.0457129176378702,0.0179302150028824
"result.19",19,501.715394188108,1017.43078837622,25.8673299899076,25.7945373489319,0.610407982631115,0.442885459547353,0.198201591169254,0.085425530450881,0.3609303959811
"result.20",20,503.212029306919,1020.42405861384,22.9910213384964,10.3113762922853,0.621240444845681,0.465205574703774,0.214402270496359,0.36341853421555,0.295847995605976
"result.21",21,620.445944001745,1254.89188800349,9.0320428080654,8.70391851437922,0.981907749646846,0.55705938485822,0.243175849971236,0.303339446950409,0.412546700338541
"result.22",22,556.404172152124,1126.80834430425,49.9836535745644,13.3906404673074,0.999987142268738,0.37601974494651,0.416255933383444,0.188806483312425,0.586045196024325
"result.23",23,590.515192190976,1195.03038438195,14.7220271797718,10.062983874068,0.999683108900814,0.485492427130806,0.15089720701179,0.000551925689844567,0.395280248398662
"result.24",24,567.247993290231,1148.49598658046,18.4035401916111,17.7808550769577,0.999787929196701,0.550346005944726,0.121329708357945,0.00293841494268182,0.384624810754616
"result.25",25,560.249857214448,1134.4997144289,21.1425695412153,2.051024824908,0.336205972032078,0.930732247019094,4.89968634693082,4.99909049345708,0.512006402302545
"result.26",26,359.267984076409,732.535968152817,12.846409700639,2.15857158223963,0.475309887994069,0.638157815513448,0.187985646466495,0.257592148146514,0.0010230223924925
"result.27",27,536.584206715368,1087.16841343074,12.8131756553751,12.812164889395,0.0532044394457734,0.99973216085914,3.68030728955519,0.761530011091494,0.550732506927895
"result.28",28,611.652783368678,1237.30556673736,29.2260469261267,29.1221239414383,0.739159720316882,0.995242955773179,0.000802956874941055,4.56820587507213,0.721875504864375
"result.29",29,639.794444861797,1293.58888972359,9.21888211490421,0.83040105545322,0.827330348786938,0.295282082424886,0.657922282432023,0.672593371582506,0.582376781689691
"result.30",30,639.16514530447,1292.33029060894,22.8522399624815,22.6530894468709,0.998802491929382,0.607695847019737,0.0961830746382475,0.0671820403622164,0.779213499675089
"result.31",31,289.533731635927,593.067463271855,17.039142364089,17.0280660630607,0.189926902370291,0.927465405437398,0.274042318635153,2.1800089282073,0.137840103262711
"result.32",32,596.702248435245,1207.40449687049,18.3886631156793,18.2692658161241,0.678920769913143,0.800327362802239,0.00466490725167521,0.605120244436402,0.581113601033706
