"","participant","nLL","aic","prec","gamma"
"1",1,-37.2871828432142,-70.5743656864284,41.721680315633,0.0692064532567268
"2",2,645.268849359522,1294.53769871904,0.760802029488943,0.490465932102337
"3",3,594.162002848564,1192.32400569713,2.79602360455639,0.476332762517854
"4",4,560.328166741432,1124.65633348286,3.88618700579937,0.467089166743712
"5",5,549.64893503497,1103.29787006994,4.71337864221251,0.478452951092941
"6",6,195.293916118152,394.587832236303,13.0171705185734,0.0982613376823618
"7",7,602.388068591093,1208.77613718219,2.42475675521164,0.548089336572694
"8",8,448.979368248958,901.958736497917,8.04412126518239,0.392445672445693
"9",9,516.721926964625,1037.44385392925,4.84175029262912,0.396161719714815
"10",10,591.012169187309,1186.02433837462,5.91347802106498,0.699182114160127
"11",11,480.864832794813,965.729665589627,5.76601973895998,0.356613428198772
"12",12,628.743131016098,1261.4862620322,0.850763261891439,0.257435540315019
"13",13,626.084549643773,1256.16909928755,0.489318015597471,0.0694085292932063
"14",14,646.305925615142,1296.61185123028,1.18674632596186,0.987298019346683
"15",15,633.701782692753,1271.40356538551,0.817996767457741,0.508577031488672
"16",16,510.293106868564,1024.58621373713,5.82025758519133,0.441306876738291
"17",17,533.876435139861,1071.75287027972,6.37803103716448,0.478634009800991
"18",18,170.008163645203,344.016327290406,10.8095267433837,0.0557054714688223
"19",19,525.137889605291,1054.27577921058,5.42963334249502,0.46832335686884
"20",20,550.590541243502,1105.181082487,4.72146610074255,0.479784222416099
"21",21,631.722086443192,1267.44417288638,3.50558478602703,0.750100443233469
"22",22,575.201731561139,1154.40346312228,2.43379221270289,0.803858442564412
"23",23,606.167955530788,1216.33591106158,5.30727615803475,0.661532729814106
"24",24,578.825285549615,1161.65057109923,6.43978027133249,0.647023938044002
"25",25,601.876881219394,1207.75376243879,2.93542452989961,0.524029520235587
"26",26,371.365375672199,746.730751344397,9.51910617498395,0.28404721172939
"27",27,564.85648298416,1133.71296596832,3.39305661244689,0.422560096453583
"28",28,631.499950533709,1266.99990106742,1.58688747399271,0.662029001291446
"29",29,647.441499904579,1298.88299980916,0.619629340718865,0.466975301790851
"30",30,643.570314914644,1291.14062982929,0.816785259859382,0.702009615430259
"31",31,313.561381815831,631.122763631662,9.6893679031699,0.197323109963651
"32",32,616.564520900407,1237.12904180081,2.50906719470491,0.607906208929161
"33",33,588.328822177354,1180.65764435471,1.87843368322361,0.429483993657362
"34",34,498.001340298296,1000.00268059659,6.14635802732728,0.373591364155781
"35",35,591.82276557879,1187.64553115758,1.82660150757199,0.447786021604903
"36",36,584.108377276136,1172.21675455227,2.31647610367343,0.472502939425155
