"","participant","nLL","aic","prec1","prec2","gamma","kappa","lambda_b","lambda_f","beta","zeta","rho","chi"
"result.1",1,537.459724335949,1094.9194486719,20.3689023605251,2.52705708798342,0.117579953372702,0.999769447843617,4.05662953719164,0.5585448654443,0.0906847705556682,0.996915678898342,0.92942296369382,0.00952894693280655
"result.2",2,268.465807060309,556.931614120619,38.1509328717319,17.3621693288418,0.0750554396617684,0.999172916402678,0.00221408837890497,1.91266042492052,0.106328133415808,0.995230043748729,0.753557685578721,0.817291349694211
"result.3",3,1174.62898833642,2369.25797667285,15.1689138498076,16.1838443697347,0.0966545348944648,0.10214748775791,4.9997071561039,0.921487640211309,0.320137817283373,0.977749512002089,0.000454268621194029,0.888276589822609
"result.4",4,777.332822249443,1574.66564449889,21.6261864542401,20.108255063729,0.159677035761265,0.993226949389398,0.0798507857660531,3.70014230707466,0.182361687334763,0.944223180565325,0.674486721935663,0.402604558433764
"result.5",5,1795.01671077469,3610.03342154938,15.1713295326283,23.0072371841714,0.444300501706403,0.119773038069899,0.000633169835374646,0.976359220734004,0.799787501597255,0.377669466197337,0.733790857411211,0.50936235289999
