"","participant","nLL","aic","prec1","prec2","gamma","kappa","lambda_b","lambda_f","beta","zeta","rho","chi","iota"
"result.1",1,658.110622076901,1338.2212441538,20.556054015528,1.04274077913061,0.0494651245652043,0.855732832794167,4.62163777822099,1.3271192756744,0.0141053604412132,0.983280408553747,0.80374741977654,0.0122912912218028,0.0246109816585162
"result.2",2,417.861229293792,857.722458587585,36.6312913476535,14.0579725811551,0.0440042386762798,0.804134762912938,1.38667064894238,4.92837457102723,0.0991359636497605,0.943544728771771,0.518283812899457,0.00528167481790968,0.00285177344542445
"result.3",3,1412.57595502543,2847.15191005086,15.0486877788622,12.9966817823029,0.0496595420647346,0.995943293746191,4.08224125741981,4.3942920312453,0.331752687901642,0.988213990411708,0.685514238510376,0.00540504551382864,0.0413147368314956
"result.4",4,961.347942013201,1944.6958840264,22.1545985302296,13.1653733602825,0.113810590984004,0.438979357532529,1.27743339620422,4.88478884090702,0.0584497900626011,0.996122351847589,0.604685751563394,0.039657019418032,0.289843439590186
"result.5",5,1980.98724002919,3983.97448005838,14.9575058166224,9.94373408961317,0.134582335595042,0.655244293965625,0.0257304179723449,4.08426528357266,0.555205042543281,0.293362469514513,0.67706423547942,0.484996845537472,0.0242177093317758
