"","participant","nLL","aic","prec1","prec2","gamma","kappa","lambda_b","lambda_f","beta","zeta","rho","chi","iota"
"result.1",1,657.357062835942,1336.71412567188,20.758809390448,0.815477456820543,0.0458409747381953,0.972488406236191,4.63020886260527,1.03023993511481,0.00264072244736377,0.984703723234127,0.891171769081523,0.000830273440566371,0.0821825326420367
"result.2",2,417.835787926085,857.67157585217,36.899383883668,12.3849290467514,0.0412233105243164,0.841465860561686,1.55135567803276,4.98215848295422,0.0992717558614475,0.98110844012447,0.549977404287519,0.00256926192705251,0.130895476050598
"result.3",3,1412.57340446677,2847.14680893353,15.2564324606513,13.6712115258939,0.0498870787306374,0.990968001090694,4.97602068878869,4.69526627205224,0.337211014590942,0.986766650574639,0.647683178111255,0.00124198939962553,0.497780980610372
"result.4",4,961.170983245225,1944.34196649045,22.5110448641421,12.5257082536212,0.140718266921908,0.485745050454758,1.25542550825795,4.95230936489542,0.0568400455970077,0.947185559168461,0.524089345861396,0.0109443376607484,0.0559471548244215
"result.5",5,1980.97956168579,3983.95912337157,16.6990288068114,9.8780506982769,0.1170902736485,0.52001062710834,0.000446801638398893,3.73664011237356,0.55606914879779,0.311269150531012,0.84423602195099,0.38268338557029,0.0289868241662979
