"","participant","nLL","aic","prec","beta"
"1",1,-69.6398402460922,-135.279680492184,57.5147884599015,0.0753795032558318
"2",2,643.574731336131,1291.14946267226,3.71778960115279,0.799724935443998
"3",3,562.502136209459,1129.00427241892,13.168381068989,0.611056750169307
"4",4,552.976960503521,1109.95392100704,9.05163146521712,0.565609742773655
"5",5,542.237044161365,1088.47408832273,11.8020488291505,0.567078204398566
"6",6,163.798913856858,331.597827713716,18.4877536471591,0.121494023822823
"7",7,596.47955016539,1196.95910033078,8.36381351600119,0.677010812260889
"8",8,435.91642696271,875.832853925421,19.7911677216686,0.471631059184376
"9",9,497.658245586233,999.316491172467,11.4146439031692,0.472221436898222
"10",10,594.666720972755,1193.33344194551,20.5510054950371,0.760293681162417
"11",11,470.579814247425,945.15962849485,11.5780144647265,0.428837739160841
"12",12,619.342040365399,1242.6840807308,7.70971033483188,0.72822575618022
"13",13,618.489030724657,1240.97806144931,5.59446343828996,0.766062257511993
"14",14,652.280856914947,1308.56171382989,128.434796564292,0.992676791064298
"15",15,627.102148452866,1258.20429690573,5.50136896171083,0.801296681633911
"16",16,499.470327527542,1002.94065505508,11.618133165689,0.497592380965927
"17",17,526.641234671378,1057.28246934276,12.1608051236072,0.539143301789583
"18",18,163.942052421628,331.884104843257,11.6248409715202,0.0624828428707434
"19",19,517.560904965727,1039.12180993145,24.2973272453912,0.580856303117419
"20",20,520.264875605744,1044.52975121149,21.8314355268841,0.578414119672395
"21",21,635.169722524616,1274.33944504923,8.7333159908932,0.805012719051224
"22",22,570.232279535938,1144.46455907188,60.6903837901804,0.882569562662666
"23",23,604.208844581593,1212.41768916319,15.166297458281,0.731659439663812
"24",24,589.654670923635,1183.30934184727,20.9537255836269,0.717425232383255
"25",25,566.514431042951,1137.0288620859,20.8429678829532,0.658655458788933
"26",26,365.573757663716,735.147515327432,13.2110564505844,0.310662472881433
"27",27,536.858761335142,1077.71752267028,12.7045291640574,0.569757486699945
"28",28,617.95775278329,1239.91550556658,23.7993335792697,0.829217962684318
"29",29,643.042851593337,1290.08570318667,11.7747052673874,0.866947042566013
"30",30,644.78275665165,1293.5655133033,22.1936741408091,0.915886883207487
"31",31,300.554462588826,605.108925177653,15.133879795434,0.238052296013645
"32",32,602.476894174966,1208.95378834993,15.9629946051062,0.745748525327695
"33",33,568.606922532095,1141.21384506419,18.7130785155466,0.676005890310332
"34",34,474.023804282585,952.047608565171,12.4333524091189,0.44023175985743
"35",35,584.317549541598,1172.6350990832,6.0160863316908,0.637566511298647
"36",36,557.566602383619,1119.13320476724,10.6712475636474,0.632852615996384
