participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta_targ, eta_int,  a_targ, a_guess, gamma, beta, kappa, lambda_b, lambda_f, zeta, rho, chi, psi, Ter, st, iota
1, Orthographic, 2346.9253, 3.2806, 0, 0.077901, 0, 0.0009354, 0.013133, 2.2769, 1.4481, 1.1704e-05, 0.1574, 0.028525, 1.4392, 0.50368, 0.52454, 0.51275, 0.1038, 0, 0.204, 0, 1.0388
2, Orthographic, 2273.5559, 3.7405, 0, 0.06853, 0, 7.1629e-06, 0.010607, 3.1456, 1.409, 0.014969, 0.1022, 0.31984, 1.8736, 0.9773, 0.70863, 0.00038707, 0.024781, 0, 0.0082385, 0, 0.91394
3, Orthographic, 3242.5308, 4.8482, 0, 0.11465, 0, 0.2853, 0.006715, 2.5947, 1.3466, 5.7524e-07, 0.44207, 0.40054, 1.3623, 0.38262, 0.6753, 0.09566, 0.0029039, 0, 0.10399, 0, 0.44014
4, Orthographic, 3068.5602, 4.6703, 0, 0.074274, 0, 0.055793, 0.0012065, 3.0574, 1.7799, 0.0051154, 0.30127, 0.55465, 1.4389, 2.4403e-06, 0.40001, 0.91697, 7.3993e-07, 0, 0.062081, 0, 0.2106
5, Orthographic, 4069.3334, 4.0267, 0, 0.049622, 0, 0.18912, 0.012544, 1.4215, 0.66004, 0.077638, 0.68122, 0.35442, 0.16031, 1.3559, 0.033953, 0.56279, 0.45912, 0, 0.24296, 0, 0.00010577
