participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta_targ, eta_int,  a_targ, a_guess, gamma, beta, kappa, lambda_b, lambda_f, zeta, rho, chi, psi, Ter, st
1, Spatiotemporal Gradient, 2125.666, 3.4853, 0, 1.5538, 0, 0.23439, 0.023136, 3.1368, 1.0437, 0.013241, 0.030524, 0.39272, 0.32809, 0.29906, 0.38803, 0.92031, 0, 0, 0.0002144, 0, 0
2, Spatiotemporal Gradient, 2032.3833, 4.3813, 0, 1.6621, 0, 0.055753, 0.017768, 3.5478, 1.0333, 0.030193, 0.028217, 0.60677, 0.0062402, 0.4004, 1.5029, 0.20265, 0, 0, 1.4367e-06, 0, 0
3, Spatiotemporal Gradient, 3240.0287, 4.7681, 0, 1.3849, 0, 0.016307, 0.003909, 2.6152, 1.3651, 4.2216e-06, 0.43984, 0.11301, 0.7625, 1.0781, 0.0069075, 0.10052, 0, 0, 0.09195, 0, 0
4, Spatiotemporal Gradient, 2891.9239, 4.3053, 0, 1.6311, 0, 0.13386, 1.6009e-06, 3.1118, 0.76374, 0.080789, 0.00078515, 0.21043, 2.0742, 1.453, 0.80134, 0.14271, 0, 0, 8.0859e-05, 0, 0
5, Spatiotemporal Gradient, 4053.7011, 2.8397, 0, 0.085269, 0, 0.071844, 7.8792e-08, 1.4013, 0.65301, 0.063655, 0.68641, 0.50867, 0.30678, 0.92781, 0.053457, 1.6516e-05, 0, 0, 0.2492, 0, 0
