Pure Guess,Pure Intrusion,Intrusion + Guess,Temporal,Spatiotemporal,Orthographic,Semantic,Multiplicative 
2454.3094,2148.9764,2289.4907,2333.3824,2125.666,2346.9253,2153.3198,2136.8952
2551.839,2156.8688,2259.1529,2053.411,2032.3833,2273.5559,2171.1232,2425.6444
3492.7429,3388.7957,3493.9851,3330.0429,3291.5732,3242.5308,3298.8932,3346.6347
3307.2142,2949.6248,3424.8335,3265.9031,2891.9239,3068.5602,3096.4089,3011.7365
4613.5122,4455.2602,4259.647,4468.5827,4100.9572,4069.3334,4253.5313,4218.7168
