participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta_targ, eta_int,  a_targ, a_guess, gamma, beta, kappa, lambda_b, lambda_f, zeta, rho, Ter, st
1, Spatiotemporal Gradient, 2603.2427, 3.8755, 0, 1.4104, 0, 0.27086, 0.039666, 3.3786, 1.8798, 0.03579, 0.16268, 0.49824, 0.51187, 1.293, 0.90743, 0.4579, 5.3489e-06, 0
2, Spatiotemporal Gradient, 2490.9253, 4.7956, 0, 1.5865, 0, 0.078189, 0.331, 3.7984, 1.7706, 0.092509, 0.088542, 0.87867, 0.008987, 1.06, 1.0022, 0.74168, 2.2237e-06, 0
3, Spatiotemporal Gradient, 3615.3051, 4.7034, 0, 0.76361, 0, 0.29867, 0.28949, 2.4106, 1.276, 0.10638, 0.34882, 0.75654, 0.2174, 0.31873, 1.0002, 0.45029, 0.12784, 0
4, Spatiotemporal Gradient, 3960.0632, 3.3314, 0, 0.01315, 0, 0.003798, 0.13283, 2.114, 0.59805, 0.035167, 0.0001247, 0.55502, 1.8776, 1.1806, 0.070178, 1, 0.1273, 0
5, Spatiotemporal Gradient, 4039.4268, 4.6098, 0, 0.28847, 0, 0.53383, 0.27702, 1.7845, 0.6646, 0.18605, 0.74314, 0.49834, 0.44819, 0.89271, 0.66354, 0.83172, 0.264, 0
