"","ï...Intrusion...Guess","Temporal","Spatiotemporal","Orthographic","Semantic","Additive","Multiplicative"
"1",2569.5146,2595.5475,2567.6246,2608.6992,2577.9048,2591.9995,2594.2867
"2",2594.9001,2577.2824,2490.9253,2816.6656,2552.1665,2495.3406,2572.5684
"3",3626.5115,3646.6817,3605.9506,3637.0155,3631.8516,3627.6507,3668.927
"4",3632.6848,3625.2929,3553.9436,3687.8354,3605.1092,3588.1261,3715.9843
"5",4029.3685,4154.1353,4026.6901,4229.376,4454.169,4069.204,4078.2449
"6",0.278714403498226,6.19707859185176e-07,0.717080146125456,8.63637785460444e-10,0.00420001297329883,3.65279596860382e-06,1.16403555357035e-06
"7",2.38150892293833e-23,1.59399575307924e-19,0.900934383041335,1.66374111728097e-71,4.53247637409183e-14,0.0990656169586198,1.68313617341192e-18
"8",3.42951622771152e-05,1.42997874671344e-09,0.999943746359081,1.79604925751135e-07,2.37489755718896e-06,1.94025461585033e-05,2.11263302080131e-14
"9",7.97196997547675e-18,3.2114143581202e-16,0.999999962203331,8.42878599891503e-30,7.75409490088134e-12,3.77889147543668e-08,6.50592506391893e-36
"10",0.207641648953504,1.67705801571746e-28,0.792358350576768,7.69551474186235e-45,1.18319939583819e-93,4.64670981872853e-10,5.05753691593941e-12
