"","ï..Pure.Guess","Pure.Intrusion","Flat.Intrusion","Temporal","Spatiotemporal","Orthographic","Semantic","Additive","Multiplicative"
"1",8.77735956632234e-48,1.44661756672069e-21,0.68886577789735,1.53165940162621e-06,0.300740102500182,2.13455245741019e-09,0.0103806806096725,9.02818837071183e-06,2.87701047038108e-06
"2",2.56016672235767e-155,1.63111784141215e-28,7.62014490605136e-26,5.1003288298025e-22,0.999683018463982,5.32349397380992e-74,1.45026232827297e-16,0.000316981536017369,5.38555258579133e-21
"3",9.53614530526974e-70,5.15432700953473e-40,1.03469666156075e-05,4.31429431175061e-10,9.06280331744029e-07,5.41874144151734e-08,0.999982838320311,5.85381389181474e-06,6.37388537795249e-15
"4",0,6.81273077834494e-27,9.44000974250145e-16,3.80279691483042e-14,0.99999552430671,9.98094852238317e-28,9.18201293203228e-10,4.47477504979496e-06,7.70399238535845e-34
"5",1.37358865550735e-122,8.68015614948502e-44,0.29255442136853,3.07811237015471e-12,0.00191458177653415,4.84468122855753e-11,0.705530996141592,6.54693077779401e-10,7.12576110548976e-12
