participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta_targ, eta_int,  a_targ, a_guess, gamma, beta, kappa, lambda_b, lambda_f, zeta, rho, Ter, st
1, Spatiotemporal Gradient, 2567.6246, 4.0714, 0, 1.5692, 0, 0.14152, 0.32003, 3.4478, 1.5389, 0.046841, 0.054564, 0.89578, 1.0623, 1.1039, 0.90577, 0.94239, 1.2016e-05, 0
2, Spatiotemporal Gradient, 2490.9253, 4.7956, 0, 1.5865, 0, 0.078189, 0.331, 3.7984, 1.7706, 0.092509, 0.088542, 0.87867, 0.008987, 1.06, 1.0022, 0.74168, 2.2237e-06, 0
3, Spatiotemporal Gradient, 3605.9506, 4.8728, 0, 0.96027, 0, 0.14239, 0.21714, 2.4772, 1.2452, 0.10715, 0.34253, 0.73686, 0.75548, 0.60559, 0.99271, 0.59818, 0.12808, 0
4, Spatiotemporal Gradient, 3553.9436, 4.6707, 0, 1.3515, 0, 0.14149, 4.3883e-06, 3.3427, 1.7627, 0.14173, 0.10306, 0.52637, 0.87962, 2.3724, 1.0014, 0.79897, 1.171e-05, 0
5, Spatiotemporal Gradient, 4026.6901, 4.6999, 0, 0.068299, 0, 0.061511, 0.058202, 1.7265, 0.66304, 0.099156, 0.73539, 0.50265, 0.42365, 0.87778, 0.0088265, 0.90078, 0.264, 0
