participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta_targ, eta_int,  a_targ, gamma,  Ter, st
1, Pure Intrusion, 2664.7393, 3.5909, 0, 1.5248, 0, 0.39, 0.91867, 3.2045, 0.16509, 1.4716e-06, 0
2, Pure Intrusion, 2607.1935, 4.5863, 0, 1.5531, 0, 0.2028, 0.91615, 3.6737, 0.23937, 1.68e-06, 0
3, Pure Intrusion, 3784.481, 3.7029, 0, 1.3736, 0, 0.0022328, 0.94126, 2.0031, 0.40761, 0.11426, 0
4, Pure Intrusion, 3683.994, 4.3967, 0, 1.3819, 0, 0.024224, 0.56895, 3.1709, 0.35255, 1.569e-05, 0
5, Pure Intrusion, 4225.2157, 0.31329, 0, 4.7405, 0, 0.32387, 0.00057767, 1.2501, 0.54547, 0.19542, 0
