participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta_targ, eta_int,  a_targ, a_guess, gamma, beta, kappa, lambda_b, lambda_f, Ter, st
1, Temporal Gradient, 2595.5475, 4.0885, 0, 0.70191, 0, 0.48946, 0.55655, 3.57, 1.9201, 8.3504e-05, 0.18924, 0.53518, 0.57838, 3.3536, 1.0185e-05, 0
2, Temporal Gradient, 2577.2824, 4.654, 0, 3.1311, 0, 0.36168, 0.11999, 3.7598, 2.0107, 0.031003, 0.2216, 0.59282, 0.00079565, 0.10686, 2.1181e-06, 0
3, Temporal Gradient, 3646.6817, 4.7838, 0, 3.5665, 0, 0.097907, 0.14704, 2.6093, 1.4648, 0.0034305, 0.4451, 0.21777, 0.57825, 0.59872, 0.091929, 0
4, Temporal Gradient, 3625.2929, 4.6882, 0, 1.3234, 0, 0.025789, 2.3555e-06, 3.3658, 1.7077, 0.32011, 0.15135, 0.62477, 0.215, 1.2263, 0.00088521, 0
5, Temporal Gradient, 4079.9237, 0.44274, 0, 2.2124, 0, 0.15397, 0.26742, 0.80411, 1.9389, 0.17888, 0.10998, 0.66961, 1.1898, 1.1265, 0.2309, 0
