participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta_targ, eta_int,  a_targ, a_guess, gamma, beta, kappa, lambda_b, lambda_f, zeta, rho, chi, psi, Ter, st
1, Temporal Gradient, 2333.3824, 3.196, 0, 0.12897, 0, 0.50581, 0.014432, 2.1877, 0.93427, 0.0092493, 0.04512, 0.48218, 1.3935, 0.68776, 0, 0, 0, 0, 0.22802, 0, 0
2, Temporal Gradient, 2053.411, 4.7466, 0, 0.24679, 0, 0.062675, 0.00041923, 3.8124, 1.8896, 1.4693e-07, 0.22265, 0.36456, 1.1633, 0.058661, 0, 0, 0, 0, 6.5797e-06, 0, 0
3, Temporal Gradient, 3330.0429, 3.9364, 0, 0.028639, 0, 0.10863, 0.057716, 1.7403, 0.87749, 0.034513, 0.20005, 0.49882, 0.24807, 1.0218, 0, 0, 0, 0, 0.21395, 0, 0
4, Temporal Gradient, 3265.9031, 3.983, 0, 0.23544, 0, 0.071662, 0.0037582, 1.8809, 0.698, 0.057385, 0.040188, 0.27447, 0.60261, 0.58545, 0, 0, 0, 0, 0.255, 0, 0
5, Temporal Gradient, 4468.5827, 4.3537, 0, 0.10402, 0, 0.146, 0.016857, 2.0139, 1.0688, 0.016883, 0.80526, 0.58042, 0.1904, 0.61004, 0, 0, 0, 0, 0.058718, 0, 0
