"word","is_sequential","present_trial","recog_rating","recog_RT","target_angle","response_angle","response_error","source_RT","valid_RT","block","session","recog_band","intrusion_1","intrusion_2","intrusion_3","intrusion_4","intrusion_5","intrusion_6","intrusion_7","intrusion_8","intrusion_9","intrusion_offset1","intrusion_offset2","intrusion_offset3","intrusion_offset4","intrusion_offset5","intrusion_offset6","intrusion_offset7","intrusion_offset8","intrusion_offset9","intrusion_lag_1","intrusion_lag_2","intrusion_lag_3","intrusion_lag_4","intrusion_lag_5","intrusion_lag_6","intrusion_lag_7","intrusion_lag_8","intrusion_lag_9","participant"
"FINS",FALSE,1,"6",4092.10000002384,1.2458024890567,3.96433891887795,-2.71853642982124,1014,TRUE,0,1,"High",1.01614567323867,3.94045414323565,0.0101323154836664,5.43436249887283,NA,NA,NA,NA,NA,0.229656815818032,-2.69465165417894,1.23567017357304,2.09462529736346,NA,NA,NA,NA,NA,1,2,3,4,NA,NA,NA,NA,NA,1
"LUMP",FALSE,2,"6",2782,1.01614567323867,0.691431497961224,0.324714175277449,563.900000095367,TRUE,0,1,"High",1.2458024890567,3.94045414323565,0.0101323154836664,5.43436249887283,NA,NA,NA,NA,NA,-0.229656815818032,-2.92430846999698,1.00601335775501,1.86496848154543,NA,NA,NA,NA,NA,-1,1,2,3,NA,NA,NA,NA,NA,1
"SEWN",FALSE,3,"1",2182.29999995232,3.94045414323565,3.64051038554479,0.29994375769086,1183.60000002384,TRUE,0,1,"Unrecognized",1.2458024890567,1.01614567323867,0.0101323154836664,5.43436249887283,NA,NA,NA,NA,NA,2.69465165417894,2.92430846999698,-2.3528634794276,-1.49390835563718,NA,NA,NA,NA,NA,-2,-1,1,2,NA,NA,NA,NA,NA,1
"AQUA",FALSE,4,"6",720.200000047684,0.0101323154836664,0.425987535349112,-0.415855219865446,615.399999976158,TRUE,0,1,"High",1.2458024890567,1.01614567323867,3.94045414323565,5.43436249887283,NA,NA,NA,NA,NA,-1.23567017357304,-1.00601335775501,2.3528634794276,0.858955123790419,NA,NA,NA,NA,NA,-3,-2,-1,1,NA,NA,NA,NA,NA,1
"PUCK",FALSE,5,"6",1142.70000004768,5.43436249887283,5.60192209175412,-0.167559592881289,1030.20000004768,TRUE,0,1,"High",1.2458024890567,1.01614567323867,3.94045414323565,0.0101323154836664,NA,NA,NA,NA,NA,-2.09462529736346,-1.86496848154543,1.49390835563718,-0.858955123790419,NA,NA,NA,NA,NA,-4,-3,-2,-1,NA,NA,NA,NA,NA,1
"MEEK",FALSE,1,"6",1260.10000002384,4.21205691090523,4.71238898038469,-0.500332069479463,863.399999976158,TRUE,1,1,"High",3.73716022488401,2.98654696167363,1.38732821680622,3.64130100203177,2.61996261773198,0.84877438579011,2.41523414894899,3.65073557970391,5.80614057848926,0.474896686021215,1.2255099492316,2.82472869409901,0.570755908873454,1.59209429317324,-2.91990278206447,1.79682276195624,0.561321331201314,-1.59408366758403,1,2,3,4,5,6,7,8,9,1
"TOLL",FALSE,2,"6",647.200000047684,3.73716022488401,2.97850864652044,0.758651578363574,805.699999928474,TRUE,1,1,"High",4.21205691090523,2.98654696167363,1.38732821680622,3.64130100203177,2.61996261773198,0.84877438579011,2.41523414894899,3.65073557970391,5.80614057848926,-0.474896686021215,0.750613263210385,2.34983200807779,0.0958592228522388,1.11719760715203,2.8883858390939,1.32192607593502,0.0864246451800992,-2.06898035360524,-1,1,2,3,4,5,6,7,8,1
"MOAN",FALSE,3,"6",1074.5,2.98654696167363,2.33646445348993,0.650082508183695,471.399999976158,TRUE,1,1,"High",4.21205691090523,3.73716022488401,1.38732821680622,3.64130100203177,2.61996261773198,0.84877438579011,2.41523414894899,3.65073557970391,5.80614057848926,-1.2255099492316,-0.750613263210385,1.59921874486741,-0.654754040358146,0.366584343941644,2.13777257588352,0.571312812724637,-0.664188618030285,-2.81959361681563,-2,-1,1,2,3,4,5,6,7,1
"SIRS",FALSE,4,"6",1352,1.38732821680622,6.03801606181203,1.63249746217377,274.899999976158,FALSE,1,1,"High",4.21205691090523,3.73716022488401,2.98654696167363,3.64130100203177,2.61996261773198,0.84877438579011,2.41523414894899,3.65073557970391,5.80614057848926,-2.82472869409901,-2.34983200807779,-1.59921874486741,-2.25397278522555,-1.23263440092576,0.53855383101611,-1.02790593214277,-2.26340736289769,1.86437294549655,-3,-2,-1,1,2,3,4,5,6,1
"MOLD",FALSE,5,"6",849.200000047684,3.64130100203177,3.76317759232343,-0.121876590291661,330.300000071526,TRUE,1,1,"High",4.21205691090523,3.73716022488401,2.98654696167363,1.38732821680622,2.61996261773198,0.84877438579011,2.41523414894899,3.65073557970391,5.80614057848926,-0.570755908873454,-0.0958592228522388,0.654754040358146,2.25397278522555,1.02133838429979,2.79252661624166,1.22606685308278,-0.00943457767213962,-2.16483957645748,-4,-3,-2,-1,1,2,3,4,5,1
"UNDO",FALSE,6,"6",1545.5,2.61996261773198,3.90505752023687,-1.28509490250489,1496.5,TRUE,1,1,"High",4.21205691090523,3.73716022488401,2.98654696167363,1.38732821680622,3.64130100203177,0.84877438579011,2.41523414894899,3.65073557970391,5.80614057848926,-1.59209429317324,-1.11719760715203,-0.366584343941644,1.23263440092576,-1.02133838429979,1.77118823194187,0.204728468782993,-1.03077296197193,3.09700734642231,-5,-4,-3,-2,-1,1,2,3,4,1
"YAWN",FALSE,7,"6",736.699999928474,0.84877438579011,0.562902226442737,0.285872159347373,314.899999976158,TRUE,1,1,"High",4.21205691090523,3.73716022488401,2.98654696167363,1.38732821680622,3.64130100203177,2.61996261773198,2.41523414894899,3.65073557970391,5.80614057848926,2.91990278206447,-2.8883858390939,-2.13777257588352,-0.53855383101611,-2.79252661624166,-1.77118823194187,-1.56645976315888,-2.8019611939138,1.32581911448044,-6,-5,-4,-3,-2,-1,1,2,3,1
"NEWT",FALSE,8,"3",2782.19999992847,2.41523414894899,5.76866667835061,2.92975277777796,1028.39999997616,TRUE,1,1,"Unrecognized",4.21205691090523,3.73716022488401,2.98654696167363,1.38732821680622,3.64130100203177,2.61996261773198,0.84877438579011,3.65073557970391,5.80614057848926,-1.79682276195624,-1.32192607593502,-0.571312812724637,1.02790593214277,-1.22606685308278,-0.204728468782993,1.56645976315888,-1.23550143075492,2.89227887763932,-7,-6,-5,-4,-3,-2,-1,1,2,1
"SLAM",FALSE,9,"6",892.700000047684,3.65073557970391,0.0953991100015584,-2.72784883747723,419.100000023842,TRUE,1,1,"High",4.21205691090523,3.73716022488401,2.98654696167363,1.38732821680622,3.64130100203177,2.61996261773198,0.84877438579011,2.41523414894899,5.80614057848926,-0.561321331201314,-0.0864246451800992,0.664188618030285,2.26340736289769,0.00943457767213962,1.03077296197193,2.8019611939138,1.23550143075492,-2.15540499878534,-8,-7,-6,-5,-4,-3,-2,-1,1,1
"ODOR",FALSE,10,"6",692.700000047684,5.80614057848926,5.81301362165707,-0.00687304316781212,348.600000023842,TRUE,1,1,"High",4.21205691090523,3.73716022488401,2.98654696167363,1.38732821680622,3.64130100203177,2.61996261773198,0.84877438579011,2.41523414894899,3.65073557970391,1.59408366758403,2.06898035360524,2.81959361681563,-1.86437294549655,2.16483957645748,-3.09700734642231,-1.32581911448044,-2.89227887763932,2.15540499878534,-9,-8,-7,-6,-5,-4,-3,-2,-1,1
"RAMP",FALSE,1,"6",1349.69999992847,0.696550409500777,2.51699092968581,-1.82044052018503,1248.10000002384,TRUE,2,1,"High",4.39423422351095,2.71663934653358,4.48653159604106,0.703828263789565,3.9677972878518,0.747916480326435,4.74473177748532,3.4830466827066,0.0546033544207021,2.58550149316941,-2.0200889370328,2.49320412063931,-0.00727785428878847,3.01193842882857,-0.0513660708256581,2.23500393919504,-2.78649627320582,0.641947055080075,1,2,3,4,5,6,7,8,9,1
"GERM",FALSE,2,"6",604.100000023842,4.39423422351095,4.64605597775855,-0.251821754247595,178.5,FALSE,2,1,"High",0.696550409500777,2.71663934653358,4.48653159604106,0.703828263789565,3.9677972878518,0.747916480326435,4.74473177748532,3.4830466827066,0.0546033544207021,-2.58550149316941,1.67759487697737,-0.0922973725301057,-2.5927793474582,0.426436935659155,-2.63686756399507,-0.350497553974369,0.911187540804356,-1.94355443808934,-1,1,2,3,4,5,6,7,8,1
"PULP",FALSE,3,"6",1458.10000002384,2.71663934653358,1.5707963267949,1.14584301973868,1961.29999995232,TRUE,2,1,"High",0.696550409500777,4.39423422351095,4.48653159604106,0.703828263789565,3.9677972878518,0.747916480326435,4.74473177748532,3.4830466827066,0.0546033544207021,2.0200889370328,-1.67759487697737,-1.76989224950748,2.01281108274401,-1.25115794131822,1.96872286620714,-2.02809243095174,-0.766407336173017,2.66203599211288,-2,-1,1,2,3,4,5,6,7,1
"HIPS",FALSE,4,"6",715.200000047684,4.48653159604106,4.44550969870585,0.0410218973352086,729.899999976158,TRUE,2,1,"High",0.696550409500777,4.39423422351095,2.71663934653358,0.703828263789565,3.9677972878518,0.747916480326435,4.74473177748532,3.4830466827066,0.0546033544207021,-2.49320412063931,0.0922973725301057,1.76989224950748,-2.50048197492809,0.518734308189261,-2.54457019146496,-0.258200181444264,1.00348491333446,-1.85125706555923,-3,-2,-1,1,2,3,4,5,6,1
"ACRE",FALSE,5,"6",738.199999928474,0.703828263789565,0.630152109055269,0.0736761547342959,1898.10000002384,TRUE,2,1,"High",0.696550409500777,4.39423422351095,2.71663934653358,4.48653159604106,3.9677972878518,0.747916480326435,4.74473177748532,3.4830466827066,0.0546033544207021,0.00727785428878847,2.5927793474582,-2.01281108274401,2.50048197492809,3.01921628311736,-0.0440882165368697,2.24228179348383,-2.77921841891703,0.649224909368863,-4,-3,-2,-1,1,2,3,4,5,1
"BANE",FALSE,6,"6",782.200000047684,3.9677972878518,4.73919220922403,-0.771394921372238,1441.60000002384,TRUE,2,1,"High",0.696550409500777,4.39423422351095,2.71663934653358,4.48653159604106,0.703828263789565,0.747916480326435,4.74473177748532,3.4830466827066,0.0546033544207021,-3.01193842882857,-0.426436935659155,1.25115794131822,-0.518734308189261,-3.01921628311736,-3.06330449965423,-0.776934489633524,0.484750605145201,-2.36999137374849,-5,-4,-3,-2,-1,1,2,3,4,1
"BARK",FALSE,7,"6",760.600000023842,0.747916480326435,5.68719877317775,1.34390301432827,280,FALSE,2,1,"High",0.696550409500777,4.39423422351095,2.71663934653358,4.48653159604106,0.703828263789565,3.9677972878518,4.74473177748532,3.4830466827066,0.0546033544207021,0.0513660708256581,2.63686756399507,-1.96872286620714,2.54457019146496,0.0440882165368697,3.06330449965423,2.2863700100207,-2.73513020238016,0.693313125905733,-6,-5,-4,-3,-2,-1,1,2,3,1
"EDGY",FALSE,8,"6",600.799999952316,4.74473177748532,5.65642350542389,-0.911691727938575,611.400000095367,TRUE,2,1,"High",0.696550409500777,4.39423422351095,2.71663934653358,4.48653159604106,0.703828263789565,3.9677972878518,0.747916480326435,3.4830466827066,0.0546033544207021,-2.23500393919504,0.350497553974369,2.02809243095174,0.258200181444264,-2.24228179348383,0.776934489633524,-2.2863700100207,1.26168509477873,-1.59305688411497,-7,-6,-5,-4,-3,-2,-1,1,2,1
"BUNK",FALSE,9,"6",720.300000071526,3.4830466827066,0.3393907650189,-3.13952938949189,1273.10000002384,TRUE,2,1,"High",0.696550409500777,4.39423422351095,2.71663934653358,4.48653159604106,0.703828263789565,3.9677972878518,0.747916480326435,4.74473177748532,0.0546033544207021,2.78649627320582,-0.911187540804356,0.766407336173017,-1.00348491333446,2.77921841891703,-0.484750605145201,2.73513020238016,-1.26168509477873,-2.85474197889369,-8,-7,-6,-5,-4,-3,-2,-1,1,1
"QUAD",FALSE,10,"6",1007.30000007153,0.0546033544207021,5.68219385051869,0.655594811081601,1018.89999997616,TRUE,2,1,"High",0.696550409500777,4.39423422351095,2.71663934653358,4.48653159604106,0.703828263789565,3.9677972878518,0.747916480326435,4.74473177748532,3.4830466827066,-0.641947055080075,1.94355443808934,-2.66203599211288,1.85125706555923,-0.649224909368863,2.36999137374849,-0.693313125905733,1.59305688411497,2.85474197889369,-9,-8,-7,-6,-5,-4,-3,-2,-1,1
"CONS",FALSE,1,"6",1817.5,5.61252143145187,3.28763081145033,2.32489062000154,798.700000047684,TRUE,3,1,"High",0.97866607694291,2.06229979387089,4.98524560461599,2.60016706720768,4.84868886875639,4.46478223543958,4.23170011624358,0.0790098259729662,3.4004018383403,-1.64932995267063,-2.73296366959861,0.627275826835874,3.01235436424419,0.763832562695482,1.14773919601228,1.38082131520829,-0.749673701700685,2.21211959311157,1,2,3,4,5,6,7,8,9,1
