"word","is_sequential","recog_rating","recog_RT","target_angle","response_angle","response_error","source_RT","valid_RT","participant"
"RUBS",TRUE,"4",444.714999990538,4.99295068893612,4.01736400694814,0.975586681987982,2095.93999999901,TRUE,1
"AFAR",TRUE,"5",806.5800000038,2.98133878267675,2.90630674022065,0.0750320424561046,1496.2099999832,TRUE,1
"RUSE",TRUE,"3",1971.0599999819,5.45348552581994,0.969087416504721,-1.79878719786437,1152.71999998391,TRUE,1
"LOAF",TRUE,"2",551.325000007637,1.28718782810682,1.30904434509557,-0.0218565169887512,4805.14499999117,TRUE,1
"GULL",TRUE,"2",1527.94999998901,1.21402883978575,1.03770411536636,0.176324724419395,3172.17000000551,TRUE,1
"DENT",TRUE,"3",1784.30499997921,3.51851583415812,3.83346478687523,-0.314948952717111,1145.36999998381,TRUE,1
"WIGS",TRUE,"1",1737.7350000022,1.0943223014555,0.917844554279306,0.176477747176198,1015.43500000797,TRUE,1
"FUZZ",TRUE,"1",1677.5999999959,1.74445141136164,1.94460544112721,-0.200154029765577,1211.26499999128,TRUE,1
"SEER",TRUE,"1",6651.84500001464,3.93962877617038,4.07736224499438,-0.137733468823996,1631.28500001039,TRUE,1
"COVE",TRUE,"2",21635.9600000144,4.41144326583346,4.39842312364802,0.0130201421854412,1414.68499999633,TRUE,1
"DRAB",TRUE,"3",7122.93000001274,3.90854209243634,0.95289609255915,2.95564599987719,2994.83500001952,TRUE,1
"JUGS",TRUE,"4",3070.99000000721,1.30313697760254,5.95222168957793,1.63410059520419,2604.88500000816,TRUE,1
"TEEN",TRUE,"1",2034.33500000415,5.16656524181237,5.29915319447245,-0.132587952660079,3761.10999999195,TRUE,1
"WHAM",TRUE,"5",2503.01499999501,3.2946951575246,3.28760491130107,0.00709024622353338,1979.05500000343,TRUE,1
"STUN",TRUE,"1",1703.02499999525,0.864334944043181,0.662426293833151,0.20190865021003,1910.15999999968,TRUE,1
"NERD",TRUE,"1",1098.64000001131,0.142958388026768,0.597400823074352,-0.454442435047584,4038.80999999819,TRUE,1
"PEEK",TRUE,"1",3391.55000000028,2.97601963115572,2.89008879759346,0.0859308335622613,2676.48999998346,TRUE,1
"MUTT",TRUE,"3",2283.54000000376,4.87808416808736,3.76989600544114,1.10818816264622,3355.32999999076,TRUE,1
"BABA",TRUE,"2",1831.79500000551,2.81731211250361,2.50437794604404,0.312934166459566,726.160000020172,TRUE,1
"CURB",TRUE,"1",2947.66000000481,0.527226972714907,3.82369155692809,2.9867207229664,3278.11500002258,TRUE,1
"HUMS",TRUE,"1",917.335000005551,4.45417149517348,3.7824068006453,0.671764694528184,1945.37999999011,TRUE,1
"HULL",TRUE,"1",17615.3749999935,0.298761987561679,5.61090222517519,0.97104506956608,853.700000006706,TRUE,1
"TURF",TRUE,"2",4965.04999999888,3.39371542855975,3.90329856851682,-0.509583139957066,2243.95500001311,TRUE,1
"CRAM",TRUE,"2",1862.59499998391,3.28359823919387,3.05437056882151,0.229227670372355,1915.11000000173,TRUE,1
"QUIZ",TRUE,"1",1840.87499999441,4.94316378928206,5.28791562490198,-0.344751835619918,961.689999996219,TRUE,1
"CHUM",TRUE,"1",1902.82999997726,1.80826525598611,2.45317794932672,-0.644912693340607,1712.4049999984,TRUE,1
"FOXY",TRUE,"1",728.150000009686,4.78864929595979,4.59999780008655,0.188651495873233,2472.26499998942,TRUE,1
"ICKY",TRUE,"1",687.43499999959,0.981915210452091,2.00320410236543,-1.02128889191334,5449.09499998903,TRUE,1
"BALE",TRUE,"1",665.115000010468,2.46253468215163,2.17987454459773,0.282660137553904,4313.12999999523,TRUE,1
"CORP",TRUE,"1",1034.06000000564,0.844307692355817,0.536174060705624,0.308133631650193,1796.474999981,TRUE,1
"SOIL",TRUE,"1",1004.79999999516,3.49079407823897,5.5470318769498,-2.05623779871083,2381.02500000969,TRUE,1
"LENS",TRUE,"1",639.209999993443,0.577834184672368,0.707406760537105,-0.129572575864736,1957.1250000149,TRUE,1
"HEAP",TRUE,"3",2068.93499998841,0.463184708430462,3.62325633114465,3.12311368446539,2874.52000001259,TRUE,1
"BOON",TRUE,"1",1243.14999999478,0.123146899988969,3.67547629921445,2.73085590795411,3508.00500001013,TRUE,1
"WOOL",TRUE,"1",712.014999997336,1.7842865844758,2.09384976137444,-0.309563176898639,1347.56500000367,TRUE,1
"PLEA",TRUE,"1",4591.49500000058,2.22821052709524,2.27213232710787,-0.0439218000126256,1012.81000001449,TRUE,1
"DUCT",TRUE,"1",589.455000008456,5.8273121302407,5.46768530402222,0.359626826218476,1447.45999999577,TRUE,1
"TENS",TRUE,"1",605.530000000726,3.48735718528372,3.38331576663376,0.104041418649957,1196.93999999436,TRUE,1
"BULK",TRUE,"1",633.795000001322,1.74211692366704,3.8819202712371,-2.13980334757006,1425.71999999927,TRUE,1
"HALO",TRUE,"1",696.109999989625,0.783303800213455,0.878629473502006,-0.0953256732885508,2118.96500000125,TRUE,1
"CULT",TRUE,"1",858.524999988731,0.476591121007377,0.651497384384499,-0.174906263377122,863.960000016727,TRUE,1
"LUMP",TRUE,"5",2703.81000000658,0.272629903632897,0.477412717906531,-0.204782814273634,6221.61999999685,TRUE,1
"ACNE",TRUE,"1",683.040000003297,0.14407893273893,5.8611390537635,0.566125186155017,1228.78500001412,TRUE,1
"KILO",TRUE,"1",2752.40499997744,2.50918691055992,1.8302589555367,0.67892795502322,3032.42499998305,TRUE,1
"WINK",TRUE,"1",517.190000013448,0.550966095914506,0.91153075828401,-0.360564662369504,1156.82000000356,TRUE,1
