"word","is_sequential","recog_rating","recog_RT","target_angle","response_angle","response_error","source_RT","valid_RT","block","session","participant"
"ARCH",FALSE,"2",1442.45000000228,6.15842569415705,5.8676932112387,0.290732482918356,896.03999999963,TRUE,-1,1,1
"OINK",FALSE,"1",1025.33500000573,0.695952443641772,0.632748835002183,0.0632036086395887,2123.97000000055,TRUE,-1,1,1
"JUGS",FALSE,"2",1802.67500000627,0.0532263567357465,6.08930467134294,0.247106992572389,4443.46999999834,TRUE,-1,1,1
"RAVE",FALSE,"1",2838.2649999985,5.35964480828756,4.07337214646622,1.28627266182134,1206.71000000584,TRUE,-1,1,1
"GRAM",FALSE,"3",2735.97000000154,4.16847253229741,4.64171044633408,-0.473237914036675,746.129999999539,TRUE,-1,1,1
"GALS",FALSE,"1",783.134999997856,5.29557226497215,5.29045402287477,0.00511824209737899,2291.53999999835,TRUE,0,1,1
"LEWD",FALSE,"5",555.749999999534,3.68926842968229,3.62895123309498,0.0603171965873113,2763.47499999974,TRUE,0,1,1
"VASE",FALSE,"3",1085.27500000491,1.12502542188125,1.15120836169726,-0.0261829398160136,4676.33000000205,TRUE,0,1,1
"DOME",FALSE,"6",433.235000004061,2.92613861025129,2.97055302812087,-0.0444144178695782,1411.33999999875,TRUE,0,1,1
"KILO",FALSE,"1",1587.69499999471,1.58862694918412,1.60217615742431,-0.0135492082401847,2089.87500000512,TRUE,0,1,1
"CRIB",FALSE,"1",983.259999993606,0.0215338408853008,0.00448427487481598,0.0170495660104848,5322.67000000138,TRUE,0,1,1
"ROBS",FALSE,"2",273.710000001302,5.2532584625493,5.27945868138159,-0.0262002188322921,389.389999996638,TRUE,0,1,1
"HENS",FALSE,"2",622.869999999239,1.21642796746482,1.02267281869681,0.193755148768005,4371.38500000583,TRUE,0,1,1
"FOXY",FALSE,"4",647.564999999304,0.905220011773327,0.947938604681749,-0.0427185929084222,6264.43499999732,TRUE,0,1,1
"POTS",FALSE,"4",307.744999998249,0.812554570517174,0.880650440816215,-0.0680958702990409,2412.99499999877,TRUE,0,1,1
"VINE",FALSE,"6",3363.46000000054,5.90646341319124,5.65669240596333,0.249771007227912,860.984999999288,TRUE,1,1,1
"WICK",FALSE,"3",733.690000000992,0.769256017848586,4.67652991889035,2.37591140613782,1986.07000000635,TRUE,1,1,1
"CHUM",FALSE,"2",784.169999998994,1.28414854095066,4.28894957422497,-3.00480103327431,560.45499999891,TRUE,1,1,1
"DAFT",FALSE,"3",2023.97999999812,1.82129312717877,4.31199660130667,-2.4907034741279,1531.15999999852,TRUE,1,1,1
"RUSE",FALSE,"3",813.125000000582,0.31495250723954,4.37930746618351,2.21883034823562,1131.69499999646,TRUE,1,1,1
"CHEM",FALSE,"6",1397.77499999769,4.34266138169395,0.489693821648496,-2.43021774713413,2157.20499999588,TRUE,1,1,1
"TOIL",FALSE,"2",3091.44500000542,4.68962270737372,0.718829999621625,-2.31239259942749,973.259999998845,TRUE,1,1,1
"ACED",FALSE,"1",1286.36500000721,0.419182062137499,1.86139548854993,-1.44221342641243,1359.3450000044,TRUE,1,1,1
"PUNY",FALSE,"4",1054.48999999498,3.76387294476425,0.419587965097637,-2.93890032751297,1576.93000000285,TRUE,1,1,1
"BROW",FALSE,"5",1739.47500000207,4.03527441030854,2.56596565582943,1.46930875447912,875.954999995884,TRUE,1,1,1
"DYED",FALSE,"2",831.905000006431,0.515761459768179,0.545791666548,-0.0300302067798213,1226.27999999514,TRUE,2,1,1
"DUDS",FALSE,"1",684.755000001984,5.50441016360795,0.347240782896111,-1.12601592646775,1272.64000000292,TRUE,2,1,1
"PLEA",FALSE,"2",519.515000000014,4.89898800505967,5.02566516137836,-0.126677156318695,812.084999997634,TRUE,2,1,1
"OWED",FALSE,"6",710.115000001621,2.02949063159751,4.45275935097643,-2.42326871937893,12046.9049999956,FALSE,2,1,1
