"word","is_sequential","present_trial","recog_rating","recog_RT","target_angle","response_angle","response_error","source_RT","valid_RT","block","session","recog_band","angle_1","angle_2","angle_3","angle_4","angle_5","angle_6","angle_7","angle_8","angle_9","angle_10","offset1","offset2","offset3","offset4","offset5","offset6","offset7","offset8","offset9","offset10","participant"
"FINS",FALSE,0,"6",4092.10000002384,1.2458024890567,3.96433891887795,-2.71853642982124,1014,TRUE,-1,1,"High",1.2458024890567,1.01614567323867,3.94045414323565,0.0101323154836664,5.43436249887283,NA,NA,NA,NA,NA,0,0.229656815818032,-2.69465165417894,1.23567017357304,2.09462529736346,NA,NA,NA,NA,NA,1
"LUMP",FALSE,1,"6",2782,1.01614567323867,0.691431497961224,0.324714175277449,563.900000095367,TRUE,-1,1,"High",1.2458024890567,1.01614567323867,3.94045414323565,0.0101323154836664,5.43436249887283,NA,NA,NA,NA,NA,-0.229656815818032,0,-2.92430846999698,1.00601335775501,1.86496848154543,NA,NA,NA,NA,NA,1
"SEWN",FALSE,2,"1",2182.29999995232,3.94045414323565,3.64051038554479,0.29994375769086,1183.60000002384,TRUE,-1,1,"Unrecognized",1.2458024890567,1.01614567323867,3.94045414323565,0.0101323154836664,5.43436249887283,NA,NA,NA,NA,NA,2.69465165417894,2.92430846999698,0,-2.3528634794276,-1.49390835563718,NA,NA,NA,NA,NA,1
"AQUA",FALSE,3,"6",720.200000047684,0.0101323154836664,0.425987535349112,-0.415855219865446,615.399999976158,TRUE,-1,1,"High",1.2458024890567,1.01614567323867,3.94045414323565,0.0101323154836664,5.43436249887283,NA,NA,NA,NA,NA,-1.23567017357304,-1.00601335775501,2.3528634794276,0,0.858955123790419,NA,NA,NA,NA,NA,1
"PUCK",FALSE,4,"6",1142.70000004768,5.43436249887283,5.60192209175412,-0.167559592881289,1030.20000004768,TRUE,-1,1,"High",1.2458024890567,1.01614567323867,3.94045414323565,0.0101323154836664,5.43436249887283,NA,NA,NA,NA,NA,-2.09462529736346,-1.86496848154543,1.49390835563718,-0.858955123790419,0,NA,NA,NA,NA,NA,1
"MEEK",FALSE,0,"6",1260.10000002384,4.21205691090523,4.71238898038469,-0.500332069479463,863.399999976158,TRUE,0,1,"High",4.21205691090523,3.73716022488401,2.98654696167363,1.38732821680622,3.64130100203177,2.61996261773198,0.84877438579011,2.41523414894899,3.65073557970391,5.80614057848926,0,0.474896686021215,1.2255099492316,2.82472869409901,0.570755908873454,1.59209429317324,-2.91990278206447,1.79682276195624,0.561321331201314,-1.59408366758403,1
"TOLL",FALSE,1,"6",647.200000047684,3.73716022488401,2.97850864652044,0.758651578363574,805.699999928474,TRUE,0,1,"High",4.21205691090523,3.73716022488401,2.98654696167363,1.38732821680622,3.64130100203177,2.61996261773198,0.84877438579011,2.41523414894899,3.65073557970391,5.80614057848926,-0.474896686021215,0,0.750613263210385,2.34983200807779,0.0958592228522388,1.11719760715203,2.8883858390939,1.32192607593502,0.0864246451800992,-2.06898035360524,1
"MOAN",FALSE,2,"6",1074.5,2.98654696167363,2.33646445348993,0.650082508183695,471.399999976158,TRUE,0,1,"High",4.21205691090523,3.73716022488401,2.98654696167363,1.38732821680622,3.64130100203177,2.61996261773198,0.84877438579011,2.41523414894899,3.65073557970391,5.80614057848926,-1.2255099492316,-0.750613263210385,0,1.59921874486741,-0.654754040358146,0.366584343941644,2.13777257588352,0.571312812724637,-0.664188618030285,-2.81959361681563,1
"SIRS",FALSE,3,"6",1352,1.38732821680622,6.03801606181203,1.63249746217377,274.899999976158,FALSE,0,1,"High",4.21205691090523,3.73716022488401,2.98654696167363,1.38732821680622,3.64130100203177,2.61996261773198,0.84877438579011,2.41523414894899,3.65073557970391,5.80614057848926,-2.82472869409901,-2.34983200807779,-1.59921874486741,0,-2.25397278522555,-1.23263440092576,0.53855383101611,-1.02790593214277,-2.26340736289769,1.86437294549655,1
"MOLD",FALSE,4,"6",849.200000047684,3.64130100203177,3.76317759232343,-0.121876590291661,330.300000071526,TRUE,0,1,"High",4.21205691090523,3.73716022488401,2.98654696167363,1.38732821680622,3.64130100203177,2.61996261773198,0.84877438579011,2.41523414894899,3.65073557970391,5.80614057848926,-0.570755908873454,-0.0958592228522388,0.654754040358146,2.25397278522555,0,1.02133838429979,2.79252661624166,1.22606685308278,-0.00943457767213962,-2.16483957645748,1
"UNDO",FALSE,5,"6",1545.5,2.61996261773198,3.90505752023687,-1.28509490250489,1496.5,TRUE,0,1,"High",4.21205691090523,3.73716022488401,2.98654696167363,1.38732821680622,3.64130100203177,2.61996261773198,0.84877438579011,2.41523414894899,3.65073557970391,5.80614057848926,-1.59209429317324,-1.11719760715203,-0.366584343941644,1.23263440092576,-1.02133838429979,0,1.77118823194187,0.204728468782993,-1.03077296197193,3.09700734642231,1
"YAWN",FALSE,6,"6",736.699999928474,0.84877438579011,0.562902226442737,0.285872159347373,314.899999976158,TRUE,0,1,"High",4.21205691090523,3.73716022488401,2.98654696167363,1.38732821680622,3.64130100203177,2.61996261773198,0.84877438579011,2.41523414894899,3.65073557970391,5.80614057848926,2.91990278206447,-2.8883858390939,-2.13777257588352,-0.53855383101611,-2.79252661624166,-1.77118823194187,0,-1.56645976315888,-2.8019611939138,1.32581911448044,1
"NEWT",FALSE,7,"3",2782.19999992847,2.41523414894899,5.76866667835061,2.92975277777796,1028.39999997616,TRUE,0,1,"Unrecognized",4.21205691090523,3.73716022488401,2.98654696167363,1.38732821680622,3.64130100203177,2.61996261773198,0.84877438579011,2.41523414894899,3.65073557970391,5.80614057848926,-1.79682276195624,-1.32192607593502,-0.571312812724637,1.02790593214277,-1.22606685308278,-0.204728468782993,1.56645976315888,0,-1.23550143075492,2.89227887763932,1
