word,is_sequential,recog_rating,recog_RT,target_angle,response_angle,response_error,source_RT,valid_RT,block,recog_band,intrusion_1,intrusion_2,intrusion_3,intrusion_4,intrusion_5,intrusion_6,intrusion_7,intrusion_8,intrusion_9,intrusion_offset1,intrusion_offset2,intrusion_offset3,intrusion_offset4,intrusion_offset5,intrusion_offset6,intrusion_offset7,intrusion_offset8,intrusion_offset9,participant
ANTE,FALSE,6,1282.825,2.469275058,2.619758374,-0.150483316,668.145,TRUE,4,High,1.119146004,4.899026881,2.981836085,0.493693919,3.999840532,0.212935516,4.270422772,2.106701608,0.796693179,1.350129054,-2.429751824,-0.512561027,1.975581138,-1.530565474,2.256339542,-1.801147715,0.36257345,1.672581878,1
SEMI,FALSE,2,1181.375,2.981836085,2.958965785,0.022870299,10940.91,FALSE,4,Unrecognized,1.119146004,4.899026881,2.469275058,0.493693919,3.999840532,0.212935516,4.270422772,2.106701608,0.796693179,1.862690081,-1.917190797,0.512561027,2.488142165,-1.018004447,2.768900569,-1.288586688,0.875134477,2.185142905,1
SOIL,FALSE,6,554.315,0.493693919,0.590493258,-0.096799339,932.285,TRUE,4,High,1.119146004,4.899026881,2.469275058,2.981836085,3.999840532,0.212935516,4.270422772,2.106701608,0.796693179,-0.625452084,1.877852345,-1.975581138,-2.488142165,2.777038695,0.280758403,2.506456454,-1.613007688,-0.30299926,1
BARF,FALSE,2,674.83,3.999840532,4.049404066,-0.049563535,563.66,TRUE,4,Unrecognized,1.119146004,4.899026881,2.469275058,2.981836085,0.493693919,0.212935516,4.270422772,2.106701608,0.796693179,2.880694528,-0.89918635,1.530565474,1.018004447,-2.777038695,-2.496280291,-0.270582241,1.893138924,-3.080037955,1
SLED,FALSE,3,846.81,0.212935516,6.274216938,0.221903885,1589.755,TRUE,4,Unrecognized,1.119146004,4.899026881,2.469275058,2.981836085,0.493693919,3.999840532,4.270422772,2.106701608,0.796693179,-0.906210488,1.597093942,-2.256339542,-2.768900569,-0.280758403,2.496280291,2.225698051,-1.893766092,-0.583757664,1
RUGS,FALSE,6,1212.185,4.270422772,4.118273984,0.152148789,486.785,TRUE,4,High,1.119146004,4.899026881,2.469275058,2.981836085,0.493693919,3.999840532,0.212935516,2.106701608,0.796693179,-3.131908538,-0.628604109,1.801147715,1.288586688,-2.506456454,0.270582241,-2.225698051,2.163721165,-2.809455714,1
BURP,FALSE,3,716.49,2.106701608,2.476627936,-0.369926328,646.99,TRUE,4,Unrecognized,1.119146004,4.899026881,2.469275058,2.981836085,0.493693919,3.999840532,0.212935516,4.270422772,0.796693179,0.987555604,-2.792325274,-0.36257345,-0.875134477,1.613007688,-1.893138924,1.893766092,-2.163721165,1.310008428,1
GOOF,FALSE,3,3234.92,0.796693179,0.709113364,0.087579815,786.16,TRUE,4,Unrecognized,1.119146004,4.899026881,2.469275058,2.981836085,0.493693919,3.999840532,0.212935516,4.270422772,2.106701608,-0.322452824,2.180851605,-1.672581878,-2.185142905,0.30299926,3.080037955,0.583757664,2.809455714,-1.310008428,1
REEK,FALSE,6,845.41,5.412747579,5.178005091,0.234742488,511.35,TRUE,5,High,0.303236049,0.416925755,5.242697513,2.958543911,5.769061515,1.153252254,3.17515168,0.333004634,5.199980931,-1.173673777,-1.287363483,0.170050065,2.454203668,-0.356313936,-2.023689983,2.237595898,-1.203442362,0.212766648,1
MAPS,FALSE,2,845.22,0.303236049,0.465655638,-0.16241959,1294.465,TRUE,5,Unrecognized,5.412747579,0.416925755,5.242697513,2.958543911,5.769061515,1.153252254,3.17515168,0.333004634,5.199980931,1.173673777,-0.113689706,1.343723843,-2.655307862,0.817359841,-0.850016205,-2.871915631,-0.029768585,1.386440425,1
POND,FALSE,5,860.695,0.416925755,0.435821791,-0.018896036,806.955,TRUE,5,Low,5.412747579,0.303236049,5.242697513,2.958543911,5.769061515,1.153252254,3.17515168,0.333004634,5.199980931,1.287363483,0.113689706,1.457413548,-2.541618156,0.931049547,-0.7363265,-2.758225926,0.083921121,1.500130131,1
SUNS,FALSE,3,886.425,5.242697513,5.203917809,0.038779705,658.665,TRUE,5,Unrecognized,5.412747579,0.303236049,0.416925755,2.958543911,5.769061515,1.153252254,3.17515168,0.333004634,5.199980931,-0.170050065,-1.343723843,-1.457413548,2.284153602,-0.526364002,-2.193740048,2.067545833,-1.373492428,0.042716582,1
HARE,FALSE,6,658.09,2.958543911,3.249282524,-0.290738613,491.355,TRUE,5,High,5.412747579,0.303236049,0.416925755,5.242697513,5.769061515,1.153252254,3.17515168,0.333004634,5.199980931,-2.454203668,2.655307862,2.541618156,-2.284153602,-2.810517604,1.805291657,-0.216607769,2.625539277,-2.24143702,1
CANS,FALSE,3,1035.485,5.769061515,5.691469849,0.077591665,935.56,TRUE,5,Unrecognized,5.412747579,0.303236049,0.416925755,5.242697513,2.958543911,1.153252254,3.17515168,0.333004634,5.199980931,0.356313936,-0.817359841,-0.931049547,0.526364002,2.810517604,-1.667376047,2.593909835,-0.847128426,0.569080584,1
LONE,FALSE,1,494.605,1.153252254,1.038628702,0.114623552,2592.825,TRUE,5,Unrecognized,5.412747579,0.303236049,0.416925755,5.242697513,2.958543911,5.769061515,3.17515168,0.333004634,5.199980931,2.023689983,0.850016205,0.7363265,2.193740048,-1.805291657,1.667376047,-2.021899426,0.82024762,2.23645663,1
NOVA,FALSE,6,712.72,3.17515168,3.510661621,-0.335509941,1061.195,TRUE,5,High,5.412747579,0.303236049,0.416925755,5.242697513,2.958543911,5.769061515,1.153252254,0.333004634,5.199980931,-2.237595898,2.871915631,2.758225926,-2.067545833,0.216607769,-2.593909835,2.021899426,2.842147046,-2.024829251,1
MINT,FALSE,3,444.12,0.333004634,0.455615653,-0.122611019,1042,TRUE,5,Unrecognized,5.412747579,0.303236049,0.416925755,5.242697513,2.958543911,5.769061515,1.153252254,3.17515168,5.199980931,1.203442362,0.029768585,-0.083921121,1.373492428,-2.625539277,0.847128426,-0.82024762,-2.842147046,1.41620901,1
PUTT,FALSE,2,630.29,5.199980931,5.144174865,0.055806066,590.71,TRUE,5,Unrecognized,5.412747579,0.303236049,0.416925755,5.242697513,2.958543911,5.769061515,1.153252254,3.17515168,0.333004634,-0.212766648,-1.386440425,-1.500130131,-0.042716582,2.24143702,-0.569080584,-2.23645663,2.024829251,-1.41620901,1
VARY,FALSE,2,661.665,5.120353761,5.136583388,-0.016229627,492.27,TRUE,6,Unrecognized,0.489824532,4.451868006,3.860432854,2.6800459,2.925036607,3.857714902,3.08475117,0.546754312,3.578321037,-1.652656079,0.668485755,1.259920907,2.440307861,2.195317153,1.262638859,2.035602591,-1.709585858,1.542032724,1
LENT,FALSE,5,4257.13,0.489824532,0.696461422,-0.20663689,1254.59,TRUE,6,Low,5.120353761,4.451868006,3.860432854,2.6800459,2.925036607,3.857714902,3.08475117,0.546754312,3.578321037,1.652656079,2.321141834,2.912576985,-2.190221368,-2.435212075,2.915294937,-2.594926637,-0.05692978,-3.088496504,1
PACT,FALSE,3,451.385,4.451868006,4.404526422,0.047341584,773.695,TRUE,6,Unrecognized,5.120353761,0.489824532,3.860432854,2.6800459,2.925036607,3.857714902,3.08475117,0.546754312,3.578321037,-0.668485755,-2.321141834,0.591435152,1.771822106,1.526831398,0.594153103,1.367116836,-2.378071614,0.873546969,1
DUNG,FALSE,6,962.785,3.860432854,3.820477219,0.039955636,1310.985,TRUE,6,High,5.120353761,0.489824532,4.451868006,2.6800459,2.925036607,3.857714902,3.08475117,0.546754312,3.578321037,-1.259920907,-2.912576985,-0.591435152,1.180386954,0.935396247,0.002717952,0.775681684,-2.969506765,0.282111817,1
SUMS,FALSE,6,629.1,2.6800459,4.00908438,-1.32903848,1407.96,TRUE,6,High,5.120353761,0.489824532,4.451868006,3.860432854,2.925036607,3.857714902,3.08475117,0.546754312,3.578321037,-2.440307861,2.190221368,-1.771822106,-1.180386954,-0.244990707,-1.177669002,-0.40470527,2.133291588,-0.898275137,1
GIST,FALSE,2,664.355,2.925036607,2.732000549,0.193036058,1058.99,TRUE,6,Unrecognized,5.120353761,0.489824532,4.451868006,3.860432854,2.6800459,3.857714902,3.08475117,0.546754312,3.578321037,-2.195317153,2.435212075,-1.526831398,-0.935396247,0.244990707,-0.932678295,-0.159714562,2.378282295,-0.653284429,1
DORK,FALSE,2,450.91,3.857714902,4.044655632,-0.186940729,728.445,TRUE,6,Unrecognized,5.120353761,0.489824532,4.451868006,3.860432854,2.6800459,2.925036607,3.08475117,0.546754312,3.578321037,-1.262638859,-2.915294937,-0.594153103,-0.002717952,1.177669002,0.932678295,0.772963733,-2.972224717,0.279393866,1
FORE,FALSE,1,565.86,3.08475117,3.047278702,0.037472467,912.19,TRUE,6,Unrecognized,5.120353761,0.489824532,4.451868006,3.860432854,2.6800459,2.925036607,3.857714902,0.546754312,3.578321037,-2.035602591,2.594926637,-1.367116836,-0.775681684,0.40470527,0.159714562,-0.772963733,2.537996858,-0.493569867,1
BIAS,FALSE,6,421.59,0.546754312,0.424921592,0.12183272,477.81,TRUE,6,High,5.120353761,0.489824532,4.451868006,3.860432854,2.6800459,2.925036607,3.857714902,3.08475117,3.578321037,1.709585858,0.05692978,2.378071614,2.969506765,-2.133291588,-2.378282295,2.972224717,-2.537996858,-3.031566725,1
JIVE,FALSE,5,684.04,3.578321037,3.794853878,-0.216532842,542.68,TRUE,6,Low,5.120353761,0.489824532,4.451868006,3.860432854,2.6800459,2.925036607,3.857714902,3.08475117,0.546754312,-1.542032724,3.088496504,-0.873546969,-0.282111817,0.898275137,0.653284429,-0.279393866,0.493569867,3.031566725,1
GULL,FALSE,6,916.375,5.078806872,3.159289921,1.919516951,1678.99,TRUE,7,High,4.418339483,3.037108942,2.794719558,1.975685876,4.609071931,6.242355866,2.919632226,4.599885723,3.843956105,0.660467389,2.04169793,2.284087314,3.103120996,0.46973494,-1.163548994,2.159174646,0.478921149,1.234850767,1
TUBA,FALSE,1,815.72,4.418339483,4.3546429,0.063696583,493.23,TRUE,7,Unrecognized,5.078806872,3.037108942,2.794719558,1.975685876,4.609071931,6.242355866,2.919632226,4.599885723,3.843956105,-0.660467389,1.381230541,1.623619925,2.442653607,-0.190732448,-1.824016383,1.498707257,-0.18154624,0.574383378,1
TAME,FALSE,5,2071.785,3.037108942,2.932313103,0.104795839,574.01,TRUE,7,Low,5.078806872,4.418339483,2.794719558,1.975685876,4.609071931,6.242355866,2.919632226,4.599885723,3.843956105,-2.04169793,-1.381230541,0.242389384,1.061423066,-1.57196299,3.077938383,0.117476716,-1.562776781,-0.806847163,1
WITS,FALSE,2,1117.6,2.794719558,2.826738542,-0.032018984,624.84,TRUE,7,Unrecognized,5.078806872,4.418339483,3.037108942,1.975685876,4.609071931,6.242355866,2.919632226,4.599885723,3.843956105,-2.284087314,-1.623619925,-0.242389384,0.819033682,-1.814352373,2.835548999,-0.124912668,-1.805166165,-1.049236547,1
LOOP,FALSE,6,1049.33,1.975685876,1.822240417,0.153445459,842.435,TRUE,7,High,5.078806872,4.418339483,3.037108942,2.794719558,4.609071931,6.242355866,2.919632226,4.599885723,3.843956105,-3.103120996,-2.442653607,-1.061423066,-0.819033682,-2.633386055,2.016515317,-0.94394635,-2.624199847,-1.868270229,1
CURB,FALSE,2,955.625,4.609071931,4.219903215,0.389168717,1665.215,TRUE,7,Unrecognized,5.078806872,4.418339483,3.037108942,2.794719558,1.975685876,6.242355866,2.919632226,4.599885723,3.843956105,-0.46973494,0.190732448,1.57196299,1.814352373,2.633386055,-1.633283935,1.689439706,0.009186209,0.765115826,1
SAGA,FALSE,6,927.54,6.242355866,0.044813027,-0.085642468,818.065,TRUE,7,High,5.078806872,4.418339483,3.037108942,2.794719558,1.975685876,4.609071931,2.919632226,4.599885723,3.843956105,1.163548994,1.824016383,-3.077938383,-2.835548999,-2.016515317,1.633283935,-2.960461667,1.642470143,2.398399761,1
FLED,FALSE,3,907.06,2.919632226,2.956244704,-0.036612478,648.36,TRUE,7,Unrecognized,5.078806872,4.418339483,3.037108942,2.794719558,1.975685876,4.609071931,6.242355866,4.599885723,3.843956105,-2.159174646,-1.498707257,-0.117476716,0.124912668,0.94394635,-1.689439706,2.960461667,-1.680253497,-0.924323879,1
