-1.3697,1.7428,1.0755,1.4695,1,-1.451,-1.6433,1.7697,-0.92877,-0.047755,-2.911,1.648,0.34991,-1.6619,1,2,3,4,5,6,7,8,9,0.88048,1.0725,1.1976,0.40118,0.0011401,1.9735,1.0771,0.060598,1.091,0,0.25,0.5,0,0,0,0,0,0,0.33912,0.40504,0.21019,0.267,0.25394,0.1929,0.25713,0.35292,0.20241,1
0.58158,1.4105,1.1235,2.9205,2,1.451,-0.19233,-3.0625,0.52221,1.4032,-1.46,3.099,1.8009,-0.21089,-1,1,2,3,4,5,6,7,8,0.88048,0.018439,1.9969,0.13328,0.83322,0.88941,1.9991,1.2281,0.022156,0,0.25,0,0,0,0,0.25,0,0.25,0.33912,0.31474,0.35813,0.36629,0.34298,0.26112,0.35064,0.30268,0.22893,1
0.14462,1.2112,4.2265,1.5173,6,0.047755,-1.4032,-1.5956,1.8174,-0.88102,-2.8632,1.6957,0.39767,-1.6141,-5,-4,-3,-2,-1,1,2,3,4,0.0011401,0.83322,1.0248,1.2441,0.36363,1.9615,1.1246,0.078034,1.0433,0,0,0,0,0.25,0,0,0,0,0.25394,0.34298,0.26935,0.26606,0.30405,0.2053,0.34432,0.24986,0.25034,1
1.8083,1.0119,2.9573,3.1314,10,1.6619,0.21089,0.01856,-2.8516,0.73311,1.6141,-1.2491,-2.9733,2.0118,-9,-8,-7,-6,-5,-4,-3,-2,-1,1.091,0.022156,0.00017223,1.9583,0.2569,1.0433,0.68381,1.9859,1.4268,0,0.25,0.25,0,0,0,0,0,0,0.20241,0.22893,0.15604,0.17325,0.18395,0.25034,0.10916,0.21306,0.21058,1
-0.089237,1.0451,0.079656,3.394,1,-2.7753,-0.27704,2.3713,2.8639,2.6183,1.1965,-1.7414,2.6232,2.1372,1,2,3,4,5,6,7,8,9,1.9336,0.03813,1.7177,1.9617,1.8662,0.63441,1.1698,1.8686,1.5366,0.25,0,0,0,0,0,0,0.25,0.25,0.24902,0.45819,0.34987,0.2832,0.19334,0.37425,0.37949,0.33978,0.29017,1
-2.5805,1.3773,1.2212,6.1693,2,2.7753,2.4982,-1.1367,-0.644,-0.88961,-2.3114,1.0339,-0.88473,-1.3707,-1,1,2,3,4,5,6,7,8,1.9336,1.8001,0.57938,0.2003,0.37029,1.6747,0.48852,0.3665,0.80128,0.25,0,0.25,0,0,0,0.5,0,0,0.24902,0.24842,0.28052,0.23399,0.23372,0.23311,0.11619,0.18427,0.16946,1
0.28845,0.91219,1.2055,0.77572,6,-2.6183,0.88961,-2.8953,-0.24705,0.24561,-1.4218,1.9235,0.004882,-0.48113,-5,-4,-3,-2,-1,1,2,3,4,1.8662,0.37029,1.9698,0.030363,0.030011,0.85154,1.3454,1.1917e-05,0.11353,0,0,0,0.25,0.25,0.25,0,0,0.25,0.19334,0.23372,0.19262,0.22607,0.28452,0.20757,0.25633,0.24042,0.12836,1
0.10369,1.1447,5.4541,5.1354,8,1.7414,-1.0339,1.4643,-2.1706,-1.6779,-1.9235,2.9379,-1.9186,-2.4046,-7,-6,-5,-4,-3,-2,-1,1,2,1.1698,0.48852,0.89374,1.5644,1.1069,1.3454,1.9793,1.3409,1.7405,0,0.5,0,0.25,0,0,0,0,0,0.37949,0.11619,0.2618,0.31875,0.24424,0.25633,0.34922,0.22558,0.22833,1
0.24895,1.3109,0.07596,1.2569,10,-2.1372,1.3707,-2.4142,0.23407,0.72674,0.48113,-0.94066,2.4046,0.48601,-9,-8,-7,-6,-5,-4,-3,-2,-1,1.5366,0.80128,1.7469,0.027271,0.25266,0.11353,0.41074,1.7405,0.1158,0.25,0,0,0.5,0.25,0.25,0,0,0.25,0.29017,0.16946,0.34734,0.29249,0.28236,0.12836,0.34262,0.22833,0.233,1
-2.4942,0.71285,3.9669,3.6552,1,-2.8459,0.044619,-2.4502,-0.85565,1.6804,-2.2319,3.0902,-3.0865,-1.22,1,2,3,4,5,6,7,8,9,1.9566,0.00099526,1.7704,0.34427,1.1094,1.614,1.9987,1.9985,0.65632,0,0,0,0.25,0,0.5,0,0,0.25,0.24093,0.13468,0.25222,0.092635,0.21781,0.14594,0.16742,0.18867,0.2198,1
