participant, model_name, ll, AIC, v1t_1, v2t_1,  v1i_1,  v2i_1,       eta1_t, eta2_t, eta1_i, eta2_i,     at,  ag,    beta,    gamma,      tau,  l_b,   l_f,       zeta,  rho,     chi,        psi1,       iota,  upsilon,       Ter,    st
1, pure intrusion,234.3133,488.6266,6.6556,0,1.4903,0,0.2544,0.082255,0.91459,0.071223,2.3873,0.41125,0,0.050045,0.5,0,0,0,0,0,0,0,0,0.1,0
2, pure intrusion,762.6799,1545.3598,1.0976,0,1.8519,0,0.71361,0.025877,0.90804,0.084982,1.3952,0.74227,0,0.066339,0.5,0,0,0,0,0,0,0,0,0.17879,0
3, pure intrusion,610.7594,1241.5188,2.707,0,0.81368,0,0.22361,0.039359,0.86725,0.021034,1.2909,0.71543,0,0.05911,0.5,0,0,0,0,0,0,0,0,0.29159,0
4, pure intrusion,612.3086,1244.6172,2.473,0,1.0346,0,0.48472,0.1225,0.23782,0.11424,1.2617,0.96462,0,0.057401,0.5,0,0,0,0,0,0,0,0,0.19261,0
5, pure intrusion,621.3777,1262.7554,2.4793,0,0.97215,0,0.49707,0.0992,0.81297,0.1675,1.6614,0.61552,0,0.05,0.5,0,0,0,0,0,0,0,0,0.18196,0
6, pure intrusion,730.672,1481.344,2.4503,0,1.4617,0,0.10673,0.18361,0.48869,0.058379,2.9031,0.94903,0,0.050001,0.5,0,0,0,0,0,0,0,0,0.23316,0
7, pure intrusion,634.7059,1289.4119,2.4987,0,1.4198,0,0.62031,0.14693,0.56586,0.056062,1.1889,0.68153,0,0.07373,0.5,0,0,0,0,0,0,0,0,0.25349,0
8, pure intrusion,394.3335,808.667,3.8764,0,1.6327,0,0.44308,0.15698,0.61638,0.078096,1.3022,0.60644,0,0.05,0.5,0,0,0,0,0,0,0,0,0.18105,0
9, pure intrusion,788.149,1596.298,3.0793,0,1.426,0,0.46539,0.074814,0.71953,0.085568,2.1351,0.60451,0,0.070511,0.5,0,0,0,0,0,0,0,0,0.16722,0
10, pure intrusion,654.0501,1328.1001,2.5027,0,1.4177,0,0.6564,0.08657,0.64078,0.12531,1.2711,0.75852,0,0.076656,0.5,0,0,0,0,0,0,0,0,0.18738,0
11, pure intrusion,607.1487,1234.2974,3.5365,0,1.6857,0,0.49622,0.2041,0.598,0.15366,1.4111,0.63342,0,0.050001,0.5,0,0,0,0,0,0,0,0,0.22501,0
12, pure intrusion,682.9169,1385.8337,1.2645,0,0.97819,0,0.53352,0.077705,0.85764,0.11571,1.1413,0.67335,0,0.068251,0.5,0,0,0,0,0,0,0,0,0.23543,0
13, pure intrusion,915.4168,1850.8335,2.1768,0,0.48263,0,0.26899,0.075658,0.40184,0.11374,1.4721,0.73867,0,0.085566,0.5,0,0,0,0,0,0,0,0,0.18308,0
14, pure intrusion,1627.8139,3275.6278,9.3715,0,2.4291,0,0.5651,0.063057,0.99948,0.010019,2.0561,0.90633,0,0.060044,0.5,0,0,0,0,0,0,0,0,0.30845,0
15, pure intrusion,556.5142,1133.0284,1.8412,0,1.1777,0,0.90247,0.11895,0.27138,0.017698,0.9569,0.70232,0,0.076458,0.5,0,0,0,0,0,0,0,0,0.2261,0
16, pure intrusion,815.1352,1650.2704,3.9541,0,1.3538,0,0.55286,0.096573,0.43369,0.05126,1.7395,0.50519,0,0.061096,0.5,0,0,0,0,0,0,0,0,0.14786,0
17, pure intrusion,3838.4128,7696.8256,9.1729,0,2.8712,0,0.50222,0.010023,0.71768,0.73538,3.8838,0.7543,0,0.10605,0.5,0,0,0,0,0,0,0,0,0.31298,0
18, pure intrusion,995.8864,2011.7727,2.961,0,0.49381,0,0.77839,0.091651,0.42657,0.12331,1.9293,0.49275,0,0.050013,0.5,0,0,0,0,0,0,0,0,0.31638,0
19, pure intrusion,777.1502,1574.3005,1.9622,0,1.6937,0,0.4768,0.12549,0.67937,0.11168,1.8406,1.0823,0,0.052234,0.5,0,0,0,0,0,0,0,0,0.163,0
20, pure intrusion,847.7216,1715.4431,2.254,0,1.4975,0,0.54161,0.092419,0.62297,0.17743,2.6786,0.82611,0,0.050417,0.5,0,0,0,0,0,0,0,0,0.2295,0
21, pure intrusion,543.7445,1107.4889,2.8499,0,1.5389,0,0.27167,0.092783,0.77324,0.045751,1.1086,0.69112,0,0.083921,0.5,0,0,0,0,0,0,0,0,0.23011,0
22, pure intrusion,464.3088,948.6177,7.6214,0,0.49552,0,0.26204,0.049066,0.6991,0.14444,0.83232,0.68917,0,0.10536,0.5,0,0,0,0,0,0,0,0,0.2237,0
23, pure intrusion,989.3215,1998.643,2.155,0,0.49166,0,0.75169,0.17666,0.58094,0.074378,1.8168,0.6944,0,0.084139,0.5,0,0,0,0,0,0,0,0,0.14948,0
24, pure intrusion,687.0101,1394.0202,3.276,0,1.3685,0,0.2991,0.13009,0.56509,0.13811,1.758,0.56759,0,0.05,0.5,0,0,0,0,0,0,0,0,0.15309,0
25, pure intrusion,707.8466,1435.6931,3.4555,0,0.52621,0,0.52729,0.088322,0.91245,0.086509,1.4517,0.82777,0,0.0703,0.5,0,0,0,0,0,0,0,0,0.22106,0
26, pure intrusion,2158.3547,4336.7093,4.8544,0,1.6002,0,0.38212,0.13179,0.73237,0.17735,1.4502,0.39908,0,0.050014,0.5,0,0,0,0,0,0,0,0,0.14547,0
27, pure intrusion,491.1847,1002.3695,2.8121,0,1.82,0,0.47464,0.111,0.24148,0.071356,1.2534,0.75944,0,0.050186,0.5,0,0,0,0,0,0,0,0,0.25636,0
28, pure intrusion,606.472,1232.944,1.3527,0,1.7095,0,0.31408,0.10631,0.87212,0.12577,1.0843,0.74544,0,0.072013,0.5,0,0,0,0,0,0,0,0,0.21014,0
29, pure intrusion,697.0452,1414.0903,1.5867,0,0.94157,0,0.90573,0.083571,0.60718,0.1078,1.1127,0.77163,0,0.071656,0.5,0,0,0,0,0,0,0,0,0.24888,0
30, pure intrusion,710.6992,1441.3984,2.8483,0,1.4972,0,0.35991,0.010007,0.2737,0.21837,1.2352,0.74403,0,0.066433,0.5,0,0,0,0,0,0,0,0,0.15801,0
