participant, model_name, ll, AIC, v1t_1, v2t_1,  v1i_1,  v2i_1,       eta1_t, eta2_t, eta1_i, eta2_i,     at,  ag,    beta,    gamma,      tau,  l_b,   l_f,       zeta,  rho,     chi,        psi1,       iota,  upsilon,       Ter,    st
1, Spatiotemporal-Orthographic,1247.9186,2531.8372,3.6217,0,4.2595,0,0.86076,0.017429,0.6476,0.15656,2.7956,1.5731,0.34796,0.050002,0.8,0.39223,0.9522,0.1,0.50548,0.27293,0,5.0265,0,0.1,0
2, Spatiotemporal-Orthographic,1270.1899,2576.3798,4.1152,0,0.83646,0,0.035858,0.24791,0.28076,0.13223,2.9367,0.90378,0.050016,0.05,0.57333,0.4991,1.0762,0.53133,0.2092,0.19289,0,1.3312,0,0.10928,0
3, Spatiotemporal-Orthographic,1609.783,3255.566,4.6608,0,0.80932,0,0.8909,0.15836,0.49154,0.11311,2.1632,1.0725,0.22179,0.050001,0.73949,0.39981,0.57793,0.60328,0.15255,0.1997,0,1.4473,0,0.17907,0
4, Spatiotemporal-Orthographic,1472.1653,2980.3306,4.7756,0,1.157,0,0.82282,0.070296,0.047454,0.17743,2.852,1.1777,0.08517,0.056849,0.21254,1.4214,0.48918,0.44615,0.19992,0.23902,0,3.2229,0,0.12849,0
5, Spatiotemporal-Orthographic,1482.5492,3001.0984,5.2279,0,0.83073,0,0.32458,0.064216,0.9056,0.085323,1.7124,0.58904,0.6,0.10812,0.41523,1.081,0.5298,0.20042,0.35697,0.26843,0,1.4542,0,0.28,0
,,,,4.48,0.00,1.58,0.00,0.59,0.11,0.47,0.13,2.49,1.06,0.26,0.06,0.55,0.76,0.73,0.38,0.28,0.23,0.00,2.50,0.00,0.16,0.00
