participant, model_name, ll, AIC, v1t_1, v2t_1,  v1i_1,  v2i_1,       eta1_t, eta2_t, eta1_i, eta2_i,     at,  ag,    beta,    gamma,      tau,  l_b,   l_f,       zeta,  rho,     chi,        psi1,       iota,  upsilon,       Ter,    st
1, spatiotemporal,114.4406,260.8812,6.9125,0,1.0623,0,0.41564,0.22291,0.50272,0.051182,2.602,0.80609,0.050015,0.050001,0.77415,0.7327,0.58294,0.18257,0.22402,0,0,0,0,0.10009,0
2, spatiotemporal,744.0559,1520.1118,1.6447,0,0.49933,0,0.44244,0.13113,0.56908,0.047345,1.3342,0.79338,0.40688,0.084645,0.45522,0.9646,0.66268,0.33786,0.1981,0,0,0,0,0.27017,0
3, spatiotemporal,586.8383,1205.6766,4.5091,0,1.4328,0,0.90544,0.098192,0.55593,0.076538,1.6543,0.81755,0.41134,0.065771,0.71298,0.39862,0.59988,0.43616,0.21239,0,0,0,0,0.36601,0
4, spatiotemporal,575.1571,1182.3142,3.3481,0,0.55894,0,0.9002,0.055538,0.45587,0.14687,1.498,0.73047,0.35535,0.050021,0.75115,0.96284,0.47264,0.32002,0.39907,0,0,0,0,0.26305,0
5, spatiotemporal,571.1936,1174.3873,3.2999,0,3.4308,0,0.89967,0.040189,0.32067,0.04855,2.0351,1.2319,0.20163,0.066777,0.34422,0.81489,0.49581,0.19941,0.19573,0,0,0,0,0.19021,0
6, spatiotemporal,661.5457,1355.0915,2.2521,0,0.49635,0,0.65903,0.035915,0.60453,0.13399,3.0146,0.69479,0.051119,0.050001,0.79281,1.2158,0.36461,0.63175,0.60321,0,0,0,0,0.24102,0
7, spatiotemporal,610.917,1253.8339,4.3482,0,0.49839,0,0.90259,0.086902,0.39397,0.12275,1.4598,0.74008,0.51841,0.076204,0.70681,0.76231,0.44118,0.20764,0.26995,0,0,0,0,0.32554,0
8, spatiotemporal,367.9141,767.8281,4.9715,0,1.3988,0,0.66608,0.068318,0.75158,0.065492,1.5393,0.89828,0.22753,0.050002,0.71388,0.39758,0.62086,0.36079,0.20168,0,0,0,0,0.18329,0
9, spatiotemporal,743.6682,1519.3364,3.4513,0,0.49864,0,0.90385,0.090285,0.85379,0.045856,2.1997,1.115,0.17178,0.05326,0.59906,0.73118,0.39833,0.4378,0.30832,0,0,0,0,0.25212,0
10, spatiotemporal,651.831,1335.6621,2.6599,0,1.8337,0,0.90144,0.099797,0.83124,0.025944,1.384,0.93362,0.11889,0.088131,0.44667,0.74118,0.51453,0.23291,0.33877,0,0,0,0,0.189,0
11, spatiotemporal,564.3919,1160.7839,4.0579,0,0.84421,0,0.90473,0.044419,0.72754,0.086825,1.8038,0.92027,0.26756,0.050428,0.75369,1.4055,0.56512,0.59445,0.52826,0,0,0,0,0.20994,0
12, spatiotemporal,656.9664,1345.9327,2.4014,0,1.012,0,0.42063,0.1195,0.64556,0.18163,1.5921,0.7808,0.55826,0.072294,0.24532,1.1888,0.45912,0.60036,0.25285,0,0,0,0,0.28538,0
13, spatiotemporal,897.4727,1826.9453,1.8688,0,0.93226,0,0.90316,0.1433,0.048497,0.099812,2.133,0.95086,0.5215,0.08124,0.41565,0.75396,0.44394,0.38785,0.25333,0,0,0,0,0.26107,0
14, spatiotemporal,582.7912,1197.5824,1.4561,0,2.9138,0,0.91193,0.053118,0.30899,0.057856,1.3459,0.68948,0.11458,0.11098,0.49769,0.75198,0.65919,0.18746,0.19526,0,0,0,0,0.25303,0
15, spatiotemporal,532.8279,1097.6558,3.6137,0,0.49948,0,0.53532,0.093866,0.47127,0.057666,1.1708,0.69143,0.56113,0.084531,0.34338,1.0063,0.88966,0.31842,0.34596,0,0,0,0,0.2628,0
16, spatiotemporal,723.9967,1479.9933,3.8365,0,0.50971,0,0.90643,0.084678,0.23417,0.13862,1.7851,0.72073,0.33656,0.079495,0.24838,0.82613,0.63879,0.5992,0.5758,0,0,0,0,0.2593,0
