participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta_targ, eta_int,  a_targ, a_guess, gamma, beta, Ter, st
1, Intrusion + Guess,2022.1269,4.5975,0,2.1559,0,0.90429,0.91195,4.0115,1.5942,0.022176,0.11009,1.56E-05,0
2, Intrusion + Guess,2015.5047,4.5455,0,1.6117,0,0.00012682,0.01028,3.6594,1.5989,0.19247,0.07021,4.54E-07,0
3, Intrusion + Guess,3288.6673,4.9534,0,1.3565,0,0.4077,0.11983,2.1676,1.1754,0.042759,0.40876,0.1952,0
4, Intrusion + Guess,2990.8722,4.3981,0,1.5358,0,2.13E-05,0.61875,2.8274,1.687,0.16446,0.13515,0.075878,0
5, Intrusion + Guess,4169.5631,1.2696,0,0.88857,0,0.27303,0.31279,1.505,0.75149,0.16148,0.78225,0.21122,0
,,,3.95282,0,1.509694,0,0.317033625,0.39472,2.83418,1.361398,0.116669,0.301292,0.096462805,0
