,ï...Intrusion...Guess,Temporal,Spatiotemporal,Orthographic,Semantic,Additive,Multiplicative
1,2022,2094,2022,2540,2450,2063,2173
2,2016,2023,1912,2008,2115,2014,2063
3,3289,3277,3216,3243,3415,3271,3243
4,2991,2952,2790,2950,2849,2873,3287
5,4170,4284,4104,4398,4257,4145,4324
6,0.43,0,0.57,0,0,0,0
7,0,0,1,0,0,0,0
8,0,0,1,0,0,0,0
9,0,0,1,0,0,0,0
10,0,0,1,0,0,0,0
