participant, model_name, AIC, v1_targ, v2_targ, v1_int, v2_int, eta_targ, eta_int,  a_targ, a_guess, gamma, beta, kappa, lambda_b, lambda_f, Ter, st
1, Temporal Gradient, 2093.528, 3.5689, 0, 0.86031, 0, 0.10426, 0.22875, 3.2125, 1.6889, 0.0012389, 0.14941, 0.33429, 2.3581, 0.0089187, 0.00052379, 0
2, Temporal Gradient, 2023.4395, 4.5826, 0, 1.4062, 0, 0.0029968, 0.00016805, 3.7033, 1.7426, 0.089208, 0.15443, 0.56571, 0.70194, 0.62008, 6.2583e-06, 0
3, Temporal Gradient, 3277.0472, 4.6674, 0, 1.004, 0, 0.081431, 0.15703, 2.072, 1.0892, 0.21519, 0.33719, 0.86378, 0.34955, 1.1211, 0.1952, 0
4, Temporal Gradient, 2951.7473, 4.3948, 0, 1.2544, 0, 0.0007958, 0.059616, 3.2023, 1.8003, 0.16287, 0.2205, 0.018428, 2.0326, 0.24641, 9.7574e-07, 0
5, Temporal Gradient, 4284.0258, 4.4789, 0, 0.34171, 0, 0.023745, 0.072335, 1.6903, 0.89051, 0.24941, 0.75059, 0.64951, 0.68956, 0.6563, 0.15576, 0
