"","participant","nLL","aic","prec","beta"
"1",1,-69.6398402460922,-135.279680492184,57.5147878535058,0.0753795037711654
"2",2,643.574731336131,1291.14946267226,3.7177892292097,0.799724929439124
"3",3,562.502136209459,1129.00427241892,13.1683801043845,0.611056750124255
"4",4,552.976960503521,1109.95392100704,9.05163178886126,0.5656097464878
"5",5,542.237044161365,1088.47408832273,11.8020487564898,0.567078207955973
"6",6,163.798913856858,331.597827713716,18.4877535841686,0.121494027333872
"7",7,596.47955016539,1196.95910033078,8.36381325068245,0.677010821713071
"8",8,435.91642696271,875.832853925421,19.7911673194096,0.471631067455221
"9",9,497.658245586233,999.316491172467,11.4146438789084,0.472221439263729
"10",10,594.666720972755,1193.33344194551,20.5510058439266,0.760293679864074
"11",11,470.579814247425,945.15962849485,11.5780144374642,0.428837734616339
"12",12,619.342040365399,1242.6840807308,7.70971050774981,0.728225754931627
"13",13,618.489030724657,1240.97806144931,5.59446384298825,0.766062268735059
"14",14,652.280856914947,1308.56171382989,128.434786294769,0.992676790203545
"15",15,627.102148452866,1258.20429690573,5.50136848582596,0.801296679891415
"16",16,499.470327527542,1002.94065505508,11.6181329851411,0.497592385156741
"17",17,526.641234671378,1057.28246934276,12.1608053365261,0.539143302254621
"18",18,163.942052421628,331.884104843257,11.624841110981,0.0624828399076042
"19",19,517.560904965727,1039.12180993145,24.2973273239849,0.580856304542305
"20",20,520.264875605744,1044.52975121149,21.8314348119713,0.578414118137912
"21",21,635.169722524616,1274.33944504923,8.73331591543506,0.805012719991307
"22",22,570.232279535938,1144.46455907188,60.6903852382451,0.882569560095122
"23",23,604.208844581593,1212.41768916319,15.1662973232827,0.731659438547777
"24",24,589.654670923635,1183.30934184727,20.9537257561361,0.717425234156861
"25",25,566.514431042951,1137.0288620859,20.8429670745309,0.658655463453338
"26",26,365.573757663716,735.147515327432,13.2110567338256,0.310662470500795
"27",27,536.858761335142,1077.71752267028,12.7045281022294,0.569757480645235
"28",28,617.95775278329,1239.91550556658,23.7993363984732,0.829217967649419
"29",29,643.042851593337,1290.08570318667,11.7747060026186,0.866947042337727
"30",30,644.78275665165,1293.5655133033,22.1936716806472,0.915886879982272
"31",31,300.554462588826,605.108925177652,15.133879908449,0.238052295450528
"32",32,602.476894174966,1208.95378834993,15.9629955770954,0.745748525592336
"33",33,568.606922532095,1141.21384506419,18.7130787981459,0.676005887031588
"34",34,474.023804282585,952.047608565171,12.4333522210658,0.440231756456054
"35",35,584.317549541598,1172.6350990832,6.01608616644821,0.637566513634611
"36",36,557.56660238362,1119.13320476724,10.6712480744016,0.632852629470002
